GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
8600000US00601,601,ZCTA5 00601,4570,341,2610,242,1960,190,16143,1484,16976,1421,14391,1575,2640,304,1591,197,1049,180,7.3,2.9,5.6,3.8,10,5.4,15.2,5.1,14,6.5,17.1,7.4,37.6,5.3,39.7,7,34.4,9.2,22.3,5.7,21.4,7.2,23.6,8,8.9,2.9,10.5,4.2,6.4,4.3,3.5,2.2,3.1,2.1,4.1,4,1.7,1.9,1.6,2.5,2,2.9,0.8,1,1.3,1.6,0,3.7,2.7,1.6,2.9,2.2,2.4,2.7,(X),(X),21603,2354,21902,2306,28334,2874,29657,4501,26329,3533,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X)
8600000US00602,602,ZCTA5 00602,12490,579,7048,416,5442,422,12797,833,11948,937,13748,751,6644,498,3635,369,3009,324,7.7,2.3,7.6,2.9,7.8,3.8,24.4,3.4,26.7,4.4,21.6,5.1,34.4,4.2,31.6,5.2,37.9,6.6,17.7,3.5,15,4.2,20.9,6,10.1,2.7,10.6,3.6,9.5,3.3,2.4,1.2,3.9,2,0.7,1.1,1.6,1,2.5,1.7,0.4,0.7,1.4,0.9,1.6,1.4,1.2,1.4,0.3,0.4,0.5,0.8,0,1.3,(X),(X),18670,2172,21108,1436,23606,1111,24482,1733,22548,1428,13772,733,13005,1235,14381,745,7609,1108,7469,1113,8125,2426,11410,1260,11608,1261,10281,3127,13471,1039,14655,1566,11165,2812,21693,2127,24011,1273,18291,4770,25000,1888,29250,10024,23987,1731,8.1,(X),(X),(X),(X),(X)
8600000US00603,603,ZCTA5 00603,15198,786,8330,522,6868,458,14730,780,15217,918,14137,1131,8413,608,4787,401,3626,374,3.8,1.4,4.6,2.1,2.6,1.5,19.3,3.6,19.1,4.1,19.6,4.9,33.3,3.7,29.3,4.3,38.4,6.2,14.8,2.2,13.6,2.9,16.3,3.6,13.5,2.7,14.7,3.8,12,3.6,6.7,2.3,8.1,3.1,4.8,3.3,2.2,1.1,2.6,1.6,1.6,1.4,2.3,1.1,2.6,1.4,1.8,1.4,4.2,1.4,5.3,2.1,2.8,1.6,(X),(X),23555,2299,21029,1758,32919,2634,36585,4607,28080,2227,15985,765,16462,920,15391,1074,9562,1829,10455,1961,7342,2064,12408,1067,13552,1639,10608,1574,14846,1138,16115,1597,13550,1441,24094,3801,33359,4330,18186,2357,32569,7987,46618,10825,27486,4471,11.1,(X),(X),(X),(X),(X)
8600000US00606,606,ZCTA5 00606,1647,236,1019,156,628,166,13069,1003,12787,2583,13640,2084,757,189,398,116,359,136,6.3,5.1,9.3,8.1,3.1,5.5,33.9,12.6,29.4,15.2,39,22.6,47.4,14.5,44.2,16.6,51,25.3,8.6,5.4,10.1,7.5,7,8.7,3.7,4.5,7,8.4,0,10.5,0,5.1,0,9.6,0,10.5,0,5.1,0,9.6,0,10.5,0,5.1,0,9.6,0,10.5,0,5.1,0,9.6,0,10.5,(X),(X),16082,1289,16272,2967,17743,1404,18283,2378,17143,1308,13314,837,12884,2330,14454,2219,6189,1090,6092,1732,6411,1414,13352,2619,13325,4954,13375,2281,15870,3248,17083,6688,14286,7389,14896,5030,13977,637,18438,1095,-,**,-,**,-,**,7.2,(X),(X),(X),(X),(X)
8600000US00610,610,ZCTA5 00610,8804,514,4661,303,4143,399,14813,674,14532,870,15100,1011,5391,445,2874,314,2517,271,4.4,1.7,7.4,3.2,0.8,1.3,20.7,3.5,19.8,5.9,21.8,6.2,47.8,5.5,43.4,7.4,52.7,8,13.4,3.1,13.4,4.1,13.5,4.6,6.8,2.7,8.4,4.2,5.1,3,4.3,2.3,4.4,3,4.1,3,1.4,1.6,1.8,2.1,0.9,1.5,1.1,1.3,1.4,1.4,0.8,1.3,0.1,0.1,0,1.4,0.2,0.3,(X),(X),18648,1921,19061,1803,23188,1741,23261,2186,23104,2062,15827,569,15842,859,15813,847,9911,3483,9688,3519,12686,9379,15410,729,14982,1442,15780,909,14763,767,16684,2099,13788,1014,22603,4027,25903,6698,21042,3526,33571,6472,65048,54647,28906,7804,7.8,(X),(X),(X),(X),(X)
8600000US00612,612,ZCTA5 00612,18437,935,10043,640,8394,576,17253,733,16731,905,18027,1342,11370,804,6455,629,4915,477,4,1.3,4.5,1.6,3.4,2.1,13.2,2.5,14.8,3.4,11.1,3.2,41.2,3.1,38.1,3.9,45.4,4.6,17.7,2.9,15.3,3.1,20.9,4.7,12,2.4,13.7,3.3,9.7,3.2,6.4,1.7,7.4,2.4,5.2,2.1,2.2,1.2,2.4,1.6,1.9,1.7,1.2,0.9,1.3,1.2,1.1,0.9,2,0.9,2.5,1.1,1.3,1.1,(X),(X),20943,1606,22493,1370,29215,1778,30111,2279,28037,2244,18526,833,18020,972,19317,1269,9556,3554,11122,3725,7522,2400,15700,966,16183,1010,14307,1980,17108,1162,19023,1595,15966,923,22054,1397,24851,9180,21793,1146,31561,3330,35357,12487,30702,4030,10.7,(X),(X),(X),(X),(X)
8600000US00616,616,ZCTA5 00616,2857,412,1489,269,1368,245,15396,1217,15007,1906,15654,1222,2056,364,1054,212,1002,239,7.4,4.5,12.1,6.1,2.5,3.8,23.4,7.4,21.6,8.9,25.3,9.5,41.7,8.5,33.8,10.6,50.1,10.8,11.7,5,16.9,9,6.2,4.7,7.7,3.8,7,5.5,8.5,6.6,3.4,3,4.6,5.4,2,2.4,2.3,2.2,1,1.7,3.6,4.1,0.9,1.4,0,3.7,1.8,2.9,1.5,1.7,2.8,3.3,0,3.9,(X),(X),17485,3985,17135,1654,24036,3446,25299,5141,22707,3478,15860,1295,15773,2482,15899,1112,10508,3803,7220,4205,16161,11923,14372,1367,15225,2432,13544,1882,15716,2080,15788,7325,15682,2047,20945,10481,21034,15011,20729,14627,33750,17333,-,**,33438,14736,14.2,(X),(X),(X),(X),(X)
8600000US00617,617,ZCTA5 00617,5836,506,3080,349,2756,324,16768,1191,16739,1708,16795,1747,3987,447,2178,310,1809,265,1.8,1.3,1.1,1.3,2.5,2.9,23.4,6.4,24.8,8.6,21.7,9.1,37.6,5.8,35.1,8.3,40.6,9.1,14.3,4.8,17.7,7,10.3,6.1,14,5.6,11.1,7,17.5,7.9,5.6,3.2,6.9,5.1,4,3.8,1.6,1.8,1.8,2.9,1.4,2.2,1.7,1.9,1.4,2.5,2.1,2.8,0,1,0,1.8,0,2.2,(X),(X),18956,1841,20448,2975,25502,2408,25382,2760,25646,3405,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),13.4,(X),(X),(X),(X),(X)
8600000US00622,622,ZCTA5 00622,1419,295,749,189,670,190,19928,2973,21234,4861,19215,2255,972,273,531,151,441,178,3.9,4.5,7.2,7.9,0,8.7,6.1,5.6,2.6,4.5,10.2,10.9,46.9,12.2,39.4,14.9,56,17,17,8.8,22,12.9,10.9,11,9.5,6.7,10.5,8.7,8.2,9.5,4.4,4.7,3.6,5.5,5.4,8.3,0,4,0,7.3,0,8.7,4.2,4.6,0,7.3,9.3,10.2,8,6.8,14.7,12.2,0,8.7,(X),(X),25433,6494,22648,4455,46164,20103,59554,35339,30041,7142,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),4.9,(X),(X),(X),(X),(X)
