song_id,track_id,title,artists,song,year,episode,episode_year
457.0,140954.0,Lockie Leonard,angus stone+julia stone+angus,Mango Tree,2006.0,New and Improved (#2.1),2007.0
1203.0,444229.0,Frank Sinatra: A Man and His Music + Ella + Jobim,paul mann+stefan weiÌÙ+frank sinatra,Put Your Dreams Away,1958.0,,1967.0
1935.0,121170.0,Intervention,scott klass+the davenports,Five Steps,2000.0,Adam (#9.2),2005.0
1935.0,121498.0,Intervention,scott klass+the davenports,Five Steps,2000.0,Salina and Troy (#2.5),2005.0
4202.0,541635.0,Ministry: Tapes of Wrath,ministry,The Land Of Rape And Honey (Album Version),0.0,,2000.0
4432.0,208737.0,Shameless,the high strung,The Luck You Got,2005.0,The Sins of My Caretaker (#3.5),2011.0
5351.0,350714.0,Annie Laurie,lady john scott,Annie Laurie,0.0,,1926.0
5516.0,654930.0,The Cure,Julie Driscoll_ Brian Auger & The Trinity,Save Me,2008.0,,2012.0
6139.0,694050.0,Things Behind the Sun,nick drake,Things Behind the Sun,1972.0,,2001.0
6517.0,107606.0,Heartbreak St,shed seven,Ocean Pie,1994.0,Shed Seven: Maximum Hits Live in Bandung,2011.0
6866.0,363167.0,Bee Season,eddie money,Two Tickets to Paradise,1977.0,,2005.0
7634.0,378638.0,Brown Sugar,donnie,Cloud 9,2002.0,,2002.0
7861.0,5194.0,90210,the airborne toxic event,Sometime Around Midnight,2008.0,Off the Rails (#1.18),2008.0
7957.0,688570.0,The Truth About Webcam Girls,bombay bicycle club,Evening/Morning,2008.0,,2014.0
9587.0,602946.0,Samantha Fox: Making Music,samantha fox,Touch Me (I Want Your Body) ?09,1992.0,,1987.0
9587.0,245399.0,The Frank Skinner Show,samantha fox,Touch Me (I Want Your Body) ?09,1992.0,(#4.7),1995.0
9771.0,67111.0,Deixa-me Amar,pedro khima,Solta,2007.0,(#1.62),2007.0
9771.0,66821.0,Deixa-me Amar,pedro khima,Solta,2007.0,(#1.36),2007.0
9771.0,65611.0,Deixa-me Amar,pedro khima,Solta,2007.0,(#1.153),2007.0
10335.0,158427.0,Monty Pythons Flying Circus,Lester Flatt_ Earl Scruggs,Foggy Mountain Breakdown,1987.0,The Attila the Hun Show (#2.7),1969.0
10480.0,477868.0,Hush,Alesha Dixon / Asher D,Knock Down,2006.0,,2008.0
11931.0,302892.0,Top of the Pops,spice girls+jon b.+eliot kennedy,Say You'll Be There (Live),1998.0,(1996-12-25),1964.0
12280.0,229679.0,SuperStar KZ,dido+paul herman+irina kotlyarova,Thank You Mr. Poobah ( Remastered 97' Version ),0.0,(#1.15),2003.0
13002.0,354142.0,Assault of Innocence,pink floyd,The Grand Vizier's Garden Party (Entrance) (1994 Digital Remaster),0.0,,1975.0
14872.0,523653.0,Los nå¼1 de 40 en concierto,sabino mÌ©ndez+loquillo+pereza,Rock & roll star (Bec 05),0.0,,2006.0
16983.0,388065.0,Chambao puro,chambao+antonio carmona,Camino interior,2005.0,,2005.0
17932.0,305901.0,True Detective,The New York Dolls,Human Being,1974.0,Church in Ruins (#2.6),2014.0
19802.0,134100.0,Larry L,brian wilson+mike love+larry l,Let the Wind Blow,1995.0,Let the Wind Blow,2009.0
19924.0,185424.0,Por Toda Minha Vida,adoniran barbosa,Tocar na Banda,0.0,Adoniran Barbosa (#4.1),2006.0
20656.0,686053.0,The Story of Elvis Presley,ken darby+elvis presley  )+frank sinatra,Love Me Tender,1956.0,,1977.0
20656.0,429530.0,Elvis: Love Me Tender - The Love Songs,elvis presley+vera matson+george r. poulton+ken darby,Love Me Tender,1956.0,,2009.0
20656.0,104316.0,Guapas,elvis presley+vera matson+norah jones+adam levy,Love Me Tender,1956.0,Algo tÌÁcito (#1.39),2014.0
21087.0,177091.0,Pan Am,brenda lee,Break It to Me Gently,1987.0,Truth or Dare (#1.7),2011.0
21127.0,44578.0,Charmed,sarah mclachlan,Building A Mystery (Live),1999.0,Something Wicca This Way Comes (#1.1),1998.0
21998.0,300345.0,Top of the Pops,eddie floyd+steve cropper+amii stewart,Knock on Wood,1967.0,(1979-04-19),1964.0
24707.0,709966.0,Up Close & Personal,cÌ©line dion,Because You Loved Me (Theme from 'Up Close and Personal'),1996.0,,1996.0
24707.0,477225.0,Huling sagupaan,cÌ©line dion+diane warren,Because You Loved Me (Theme from 'Up Close and Personal'),1996.0,,1996.0
29227.0,164011.0,MÌ¦kki,samuli putro,Hoidetaan kÌ_mppÌ_ BerliinistÌ_,2009.0,(#1.1),2010.0
29828.0,349375.0,Andre,joey dee+henry glover+the starlighters,Peppermint Twist,1973.0,,1994.0
29828.0,346530.0,American Graffiti,Joey Dee and the Starliters,Peppermint Twist,1973.0,,1973.0
29870.0,693386.0,Theres No Business Like Show Business,Bernadette Peters/Annie Get Your Gun - 1999 Broadway Cast,There's No Business Like Show Business (Reprise #2),0.0,,1954.0
30017.0,298364.0,Top club dimanche,barry gibb+maurice gibb+robin gibb+the bee gees,Too Much Heaven (Album Version),1979.0,(1978-12-24),1978.0
30081.0,273250.0,The Tonight Show Starring Jimmy Fallon,brandon flowers+dave keuning+the killers,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),2005.0,Justin Timberlake/Ellen DeGeneres/Macklemore & Ryan Lewis (#3.2),2014.0
32560.0,686838.0,The Swing of Things,wingy manone+andy razaf+joe garland+glenn miller+his orchestra,In The Mood For Swing,0.0,,2013.0
35758.0,643563.0,The 70s,barry gibb+robin gibb+maurice gibb+the bee gees,You Should Be Dancing [Live - Las Vegas 1997] (Album Version),1998.0,,2000.0
36419.0,482049.0,If I Should Fall from Grace: The Shane MacGowan Story,the pogues,Boys From The County Hell,1984.0,,2001.0
37071.0,402831.0,D2: The Mighty Ducks,Queen + Paul Rodgers,We Will Rock You (Live In Ukraine),0.0,,1994.0
37071.0,303359.0,Top of the Pops,Queen + Paul Rodgers,We Will Rock You (Live In Ukraine),0.0,(2000-07-07),1964.0
40164.0,372657.0,Boca,barrington levy+phil roy+bob thiele,VICE VERSE LOVE,1998.0,,1994.0
41681.0,171425.0,One Hit Wonderland,luther campbell+brother marquis+mr. mixx+ricardo williams+fresh kid ice+2 live crew,Me So Horny,2007.0,Baby Got Back (#1.2),2012.0
42185.0,298458.0,Top of the Pops 2,kim deal+anne dudley+keith flint+trevor horn+liam howlett+jonathan jeczalik+gary langan+paul morley+the prodigy,Firestarter,1996.0,TOTP2 Presents the Nineties,1994.0
44262.0,301122.0,Top of the Pops,hot chocolate,No Doubt About It,1980.0,(1980-05-15),1964.0
45719.0,4262.0,7th Heaven,Richard Wagner / Otto Sieben,Bridal Chorus,1991.0,We Do (#7.18),1996.0
45719.0,199943.0,Sabrina  the Teenage Witch,richard wagner+robert picardo,Bridal Chorus,1991.0,Soul Mates (#7.22),1996.0
45719.0,133490.0,Lab Rats,Richard Wagner / Otto Sieben,Bridal Chorus (Here Comes The Bride),1991.0,Bob Zombie (#4.16),2012.0
45719.0,145406.0,M*A*S*H,Richard Wagner / Otto Sieben,Bridal Chorus,1991.0,Goodbye  Farewell  and Amen (#11.16),1972.0
45719.0,257368.0,The Nanny,Richard Wagner / Otto Sieben,Bridal Chorus,1991.0,Stop the Wedding  I Want to Get Off (#1.16),1993.0
45719.0,359466.0,Banjo on My Knee,Richard Wagner / Otto Sieben,Bridal Chorus (Here Comes the Bride),1991.0,,1936.0
45719.0,404308.0,Dance Hall,Richard Wagner / Otto Sieben,Bridal Chorus,1991.0,,1941.0
45719.0,423347.0,Dummy,Richard Wagner / Otto Sieben,Bridal Chorus (Here Comes the Bride),1991.0,,2002.0
45719.0,479180.0,I Live for Love,Richard Wagner / Otto Sieben,Bridal Chorus,1991.0,,1935.0
46297.0,556120.0,Nico Icon,nico,Evening Of Light (2007 Remastered LP Version),0.0,,1995.0
46762.0,345028.0,Along Came Polly,andrew lloyd webber+tim rice,Everything's Alright (Panpipes - from Jesus Christ Superstar),0.0,,2004.0
46964.0,519850.0,Little Birds,ray barretto,Cocinando Suave,1962.0,,2011.0
47360.0,342917.0,Alice Cooper: The Nightmare Returns,alice cooper+michael bruce+neal smith+reggie vinson,Billion Dollar Babies,1973.0,,1989.0
47930.0,468130.0,Hello  My Name Is Doris,otto a. harbach+jerome kern+the platters,Smoke Gets In Your Eyes,1968.0,,2015.0
48010.0,281882.0,The Vampire Diaries,oberhofer,Away Frm U,2010.0,We All Go a Little Mad Sometimes (#4.6),2009.0
48872.0,135268.0,Late Show with David Letterman,aimee allen+scott russo+linda perry+unwritten law,Save Me (Rolling Stone Original Version),0.0,(#12.99),1993.0
50937.0,9858.0,Ally McBeal,randy newman+vonda shepard,Falling In Love (LP Version),1988.0,Ally McBeal: The Musical  Almost (#3.21),1997.0
51016.0,530346.0,Magkapatid,music+lyrics joni mitchell+sharon cuneta,Both Sides Now (Live LP Version),1974.0,,2002.0
51754.0,331507.0,A Bigger Splash,florian fricke+popol vuh,Aguirre  Der Zorn Gottes (Lacrime Di Re),0.0,,2015.0
54612.0,643487.0,The 60s,marty balin+paul kantner+jefferson airplane,Volunteers,1992.0,,1999.0
54807.0,48681.0,CompaÌ±eros,rosana arbelo,En la otra orilla,2001.0,Nos han engaÌ±ado (#8.5),1998.0
55255.0,389291.0,Cheap Trick: From Tokyo to You,rick nielsen+cheap trick,Dream Police,1979.0,,2004.0
