,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
61,61,764459,137662,You've Got A Friend (Live),Carole King with James Taylor,2009,Levenslied,2011.0,(#1.3),Youve Got a Friend,carole king hans dagelet choir
134,134,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers noel gallagher
136,136,960501,36678,Land of 1000 Dances,Chris Kenner,1962,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner wilson pickett
139,139,673130,36678,Land Of 1000 Dances,Wilson Pickett,1966,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner wilson pickett
155,155,931196,262070,High Noon,Tex Williams & Tex Ritter,0,The Porter Wagoner Show,1961.0,Tex Ritter (#1.101),High Noon,dimitri tiomkin ned washington tex ritter
158,158,857397,102553,Don't Forget Me,Way Out West,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
164,164,143304,129770,Rikki Don't Lose That Number,Steely Dan,1974,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker donald fagen steely dan
169,169,75820,413411,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach vesselina tchakarova
175,175,815775,413411,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach vesselina tchakarova
180,180,343465,338836,Better Git Hit In Your Soul (Live Version),Charles Mingus,1986,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
185,185,379037,715244,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Voyage,1993.0,,Rocket Man,elton john bernie taupin
198,198,533897,216587,Just Dance,Lady GaGa / Kardinal Offishall,2008,So You Think You Can Dance,2005.0,Results Show: Two Dancers Eliminated (#4.21),Just Dance,lady gaga
200,200,776394,650276,Nights In White Satin,The Moody Blues,1967,The Boat That Rocked,2009.0,,Nights in White Satin,justin hayward the moody blues
204,204,78706,699073,Tears Never Dry (Original Mix),Stephen Simmonds,0,Tommy,2014.0,,Tears Never Die,stephen simmonds
214,214,809980,670178,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
249,249,29828,346530,Peppermint Twist,Joey Dee and the Starliters,1973,American Graffiti,1973.0,,Peppermint Twist,joey dee henry glover
253,253,45719,145406,Bridal Chorus,Richard Wagner / Otto Sieben,1991,M*A*S*H,1972.0,Goodbye  Farewell  and Amen (#11.16),Bridal Chorus,richard wagner
344,344,847947,355285,Tuxedo Junction,Gene Krupa & His Orchestra,1993,Australia,2008.0,,Tuxedo Junction,buddy feyne william johnson julian dash erskine hawkins glenn miller his orchestra arrangement with sony bmg music entertainment
353,353,564531,440168,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,First Comes Courage,1943.0,,Peer Gynt Suite No. 1  Op. 46  4th Movement (In the Hall of the Mountain King),edvard grieg
