,Unnamed: 0,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
678,678,678,389,78801,Rise,Plastik Funk,2009,EastEnders,1985.0,(2002-01-03),Rise,gabrielle
685,685,685,389,592883,Rise,Plastik Funk,2009,Resident,2012.0,,Rise,jake ballard
694,694,694,457,140954,Mango Tree,Angus & Julia Stone,2006,Lockie Leonard,2007.0,New and Improved (#2.1),Mango Tree,angus stone+julia stone+angus
975,975,975,966,609880,It Girl,Friday Bridge,2005,Sex Pot,2009.0,,It Girl,sonny lisco+rodney miller
2357,2357,2357,1104,2443,Call All Angels,The Dolly Rocker Movement,2006,3 lbs.,2006.0,,Calling All Angels,train
3338,3338,3338,1203,444229,Put Your Dreams Away,Frank Sinatra,1958,Frank Sinatra: A Man and His Music + Ella + Jobim,1967.0,,Put Your Dreams Away,paul mann+stefan weiÌÙ+frank sinatra
3610,3610,3610,1251,595932,The Things We Did Last Summer,Frank Sinatra,1993,Road Trip: Beer Pong,2009.0,,The Last Summer,leonard jay jackson+dave scott+the forward
3692,3692,3692,1389,218450,Alma Mia,Pedro Guerra,0,Soledad,1980.0,,Alma Mia,libertad lamarque
5626,5626,5626,1716,14266,Maple Leaf Rag,The New Orleans Ragtime Orchestra,0,Animaniacs,1993.0,Jokahontas/Boids on the Hood/Mighty Wakko at the Bat (#4.3),Maple Leaf Rag,scott joplin
5654,5654,5654,1716,160679,Maple Leaf Rag,The New Orleans Ragtime Orchestra,0,Murdoch Mysteries,2008.0,Murdoch in Ragtime (#7.10),Maple Leaf Rag,scott joplin+jazz band
5659,5659,5659,1716,280560,Maple Leaf Rag,The New Orleans Ragtime Orchestra,0,The Two Ronnies,1971.0,(#4.6),Maple Leaf Rag (Satchmo),scott joplin+swingle ii
5824,5824,5824,1741,38049,Behind Blue Eyes,Jan Van Bass-10,0,Buffy the Vampire Slayer,1997.0,Where the Wild Things Are (#4.18),Behind Blue Eyes,pete townshend+anthony head
6524,6524,6524,1906,360272,Baby I Love You,The Bar-Kays,1971,Barney Safety,1995.0,,I Love You,music: traditional
6753,6753,6753,1906,498670,Baby I Love You,The Bar-Kays,1971,Kaun Kare Kurbanie,1991.0,,I Love You,kalyanji veerji shah+anandji veerji shah
7067,7067,7067,1935,121170,Five Steps,The Davenports,2000,Intervention,2005.0,Adam (#9.2),Five Steps,scott klass+the davenports
7068,7068,7068,1935,121498,Five Steps,The Davenports,2000,Intervention,2005.0,Salina and Troy (#2.5),Five Steps,scott klass+the davenports
7648,7648,7648,2476,335706,One Morning,Ken Stringfellow,2001,A Slipping-Down Life,1999.0,,One Grey Morning,ron sexsmith
