,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
140,140,752135,608033,So Real,Jeff Buckley,1994,Secretary,2002.0,,Its So Strange (The Way Love Works),the honeydogs jeff barry ellie greenwich neil diamond
265,265,811715,214326,You Can't Hurry Love,The Concretes,2002,Skins,2007.0,Finale (#1.9),You Cant Hurry Love,the concretes
592,592,385847,115122,Younger Girl [Live],John Sebastian,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner bobby harlow christopher fachini the go
618,618,739066,115122,I'm Gonna Forget About You - Original,Bobby Womack,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner bobby harlow christopher fachini the go
636,636,911143,115122,My Sweet Girl,John Hiatt,1997,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner bobby harlow christopher fachini the go
670,670,141196,115122,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner bobby harlow christopher fachini the go
734,734,614344,324646,Coke is A Joke,Michael Rose + Sly & Robbie,0,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran zachary hexum nicole watkins
903,903,466005,4069,If I Never Get To Heaven,Steve Diggle,2005,7th Heaven,1996.0,Small Miracles (#11.17),7th Heaven,dan foliart steve plunkett
960,960,671549,125610,L.A. Project Dream Dance Mix,Yana Kay,2003,Justified,2010.0,Brothers Keeper (#2.9),Dream My Darling,lynda kay parker
994,994,395125,247352,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
995,995,545594,247352,Rock To The Beat,Kevin Saunderson,0,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
1085,1085,958407,322066,Yo que soy contrabandista,Cecilia Bartoli / Orchestra La Scintilla / Adam Fischer,0,Yo Gabba Gabba!,2007.0,Day Camp (#4.13),Yo Gabba Gabba Theme,dj lance various artists adam deibert jarond gibbs
1113,1113,659255,322066,Put A Hole In Yo Back,50 Cent_ DJ Whoo Kid,0,Yo Gabba Gabba!,2007.0,Day Camp (#4.13),Yo Gabba Gabba Theme,dj lance various artists adam deibert jarond gibbs
1120,1120,877260,374411,The Christmas Song,Warren Hill,0,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
1122,1122,728861,374411,Lawyers_ Guns And Money (2007 Remastered LP Version),Warren Zevon,1978,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
1294,1294,169988,278691,(What This World Needs Is) A Few More Rednecks,The Charlie Daniels Band,1989,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal ian stanley chris hughes the tonight show band
1389,1389,785135,278691,Everybody Come On Out,Stanley Turrentine,0,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal ian stanley chris hughes the tonight show band
1390,1390,641022,278691,Look Happy_ It's the End of the World,Matthew Good Band,1997,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal ian stanley chris hughes the tonight show band
1527,1527,892906,278691,Yankee Doodle-The White Cockade-The World Turned Upside Down,U.S. Air Force Band (Fifes & Drums),0,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal ian stanley chris hughes the tonight show band
1551,1551,876772,278691,This World Is Not My Home,Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys,0,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal ian stanley chris hughes the tonight show band
1712,1712,138990,385344,Vancouver Island,Mannheim Steamroller_ Mason Williams,0,Carolina Blues,1944.0,,Poor Little Rhode Island,jule styne harry babbitt sully mason vocal quartet
1878,1878,178433,134102,Sail Away,Brian Wilson And Van Dyke Parks,1995,Larry L,2009.0,Sail On  Sailor,Sail On  Sailor,brian wilson van dyke parks tandyn almer ray kennedy jack rieley larry l
1989,1989,10011,134102,Talking Sailor Blues,Woody Guthrie & Jack Elliott,0,Larry L,2009.0,Sail On  Sailor,Sail On  Sailor,brian wilson van dyke parks tandyn almer ray kennedy jack rieley larry l
2276,2276,513861,579072,It's Never Sunny In South Philadelphia,The Wonder Years,0,Poetic Justice,1993.0,,Never Dreamed Youd Leave in Summer,stevie wonder syreeta arrangement with polygram special markets
2421,2421,764459,137662,You've Got A Friend (Live),Carole King with James Taylor,2009,Levenslied,2011.0,(#1.3),Youve Got a Friend,carole king hans dagelet choir
2720,2720,297223,244695,The Vegan Revolution Draft Dodger Anthem,Good Clean Fun,1998,The Footy Show,1994.0,The Grand Final Footy Show 2012 (#19.27),The Anthem,good charlotte benji madden joel madden john feldmann
3024,3024,391383,162171,Push and Pull,Viva L'American Death Ray Music,0,My Mad Fat Diary,2013.0,Girls (#2.3),Push It,hurby luv bug azor ray davies salt-n-pepa
3074,3074,364284,386296,How High A Ridge I Could Not Tell (Song For Eugene Levy),White Rainbow,2005,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
3090,3090,424651,386296,The Three Song,Thin White Rope,1993,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
3374,3374,559215,334146,Don't Question My Heart,WWE: ECW Theme (Saliva with Brent Smith from Shinedown),0,A Little Princess,1995.0,,Kindle My Heart,maggie smith liesel matthews
3391,3391,430685,521891,Mi Sombra En La Pared,Miguel Mateus,0,Lola  la pelÃŒ_cula,2007.0,,Mi gallo,miguel hermoso vÃŒ_ctor reyes alfonso begara
3781,3781,244757,149791,Never Ending,Elvis Presley with The Jordanaires,1995,Masters of Sex,2013.0,Below the Belt (#2.10),Its Now or Never,wally gold aaron schrÃŒÂ¦der eduardo di capua elvis presley
3885,3885,253776,19552,Song About Love (Darius Zickus Remix),Leon Somov & Jazzu,0,Australian Idol,2003.0,Up Close & Personal Special (#3.27),A Song for You,leon russell daniel spillane
3919,3919,268031,344716,Years After You,Eddie Rabbitt,0,Almost Married,1942.0,,After All These Years,eddie cherkose jacques press jane frazee
3938,3938,661238,309909,Los Alamos,Leo GarcÌ_a,2005,Unplugged,1989.0,Charly GarcÃŒ_a (#6.7),Los dinosaurios,charly garcÃŒ_a
4070,4070,411295,527543,You Know What The Trouble Is Baby,Tommy Dorsey and His Orchestra,2003,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra
4141,4141,455830,527543,Gee Baby,The Johnny Otis Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra
4157,4157,12163,527543,Lean_ Baby (Digitally Remastered '03),Glen Gray & The Casa Loma Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra
4200,4200,497988,527543,Baby_ can I hold you tonight,Tracy Chapman / Luciano Pavarotti / Orchestra Sinfonica Italiana / JosÌ© Molina,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra
4374,4374,137367,620346,What I Almost Was,Eric Church,2006,Snowtown,2011.0,,What a Friend We Have in Jesus,charles crozat converse church congregation
4399,4399,952995,683634,The Anchor Dream,Mychael Danna & Jeff Danna,0,The Semi-Hostage Incident,2014.0,,Its Just A Dream,krista berutti jeff rackley courtesy of capture publishing
4630,4630,280396,635881,Baby_ Let Me Scream At You,Adam Ant,0,Susannah,2009.0,,Let It Go,adam moreno audible effect
4674,4674,75820,482755,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4676,4676,660422,482755,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4677,4677,683895,482755,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4678,4678,753265,482755,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4679,4679,790947,482755,Ich Ruf Zu Dir_ Herr Jesu Christ,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4680,4680,815775,482755,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4681,4681,102201,482755,Vater Unser Im Himmelreich,Johann Sebastian Bach,2008,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
4714,4714,876166,478595,A Foggy Day In London Town,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,I Cant Give You Anything But Love  Baby,1940.0,,Day by Day,frank skinner
4918,4918,181683,153228,Then I'll Have To Go,Michael J.,0,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
4929,4929,291996,153228,My Heart Knows It's Way Home,Michael James,0,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
4931,4931,746295,153228,Don't Let Me Go,Michael Penn,2000,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
4945,4945,627146,153228,Finale: Janette/When Does This Feeling Go Away? (LP Version),Michael Feinstein,0,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
4956,4956,150750,153228,Why Should Love Be This Way,Michael Stanley Band,1992,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
5002,5002,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers noel gallagher
