,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
0,0,457,140954,Mango Tree,Angus & Julia Stone,2006,Lockie Leonard,2007,New and Improved (#2.1),Mango Tree,angus stone julia stone angus,1
1,1,1203,444229,Put Your Dreams Away,Frank Sinatra,1958,Frank Sinatra: A Man and His Music + Ella + Jobim,1967,,Put Your Dreams Away,paul mann stefan weiÃƒÅ’Ãƒâ„¢ frank sinatra,1
2,2,1935,121170,Five Steps,The Davenports,2000,Intervention,2005,Adam (#9.2),Five Steps,scott klass the davenports,1
3,3,1935,121498,Five Steps,The Davenports,2000,Intervention,2005,Salina and Troy (#2.5),Five Steps,scott klass the davenports,
4,4,2980,135756,With What Do We Light?,Israel Philharmonic Orchestra / Zubin Mehta,0,Late Show with David Letterman,1993,(#19.4),What the World Needs Now Is Love,burt bacharach the cbs orchestra,0
5,5,3181,555614,The Way We Were,The London Pops Orchestra,0,New York  I Love You,2008,,The Way You Look Tonight,jerome kern the michael rose orchestra,0
6,6,3181,678094,The Way We Were,The London Pops Orchestra,0,The Perfect You,2002,,No Way,michael sherwood bobby sherwood orchestra,0
7,7,4202,541635,The Land Of Rape And Honey (Album Version),Ministry,0,Ministry: Tapes of Wrath,2000,,The Land of Rape & Honey (Live),ministry,1
8,8,4432,208737,The Luck You Got,The High Strung,2005,Shameless,2011,The Sins of My Caretaker (#3.5),The Luck You Got,the high strung,1
9,9,4929,695853,Mean Old World,Willie Kent,2004,Three Little Sisters,1944,,Little Old Fashioned Looking Glass,walter kent,0
10,10,5223,493877,Um Gosto De Sol,Milton Nascimento,1972,Jorge  um Brasileiro,1988,,Jorge  Um Brasileiro,tÃƒÅ’Ã‚Â_lio mourÃƒÅ’Ã‚Â£o ronaldo bastos milton nascimento,0
11,11,5269,678023,What A Wonderful World  (LP Version),Victoria Williams,0,The Perfect Match,2016,,A Wonderful Year,kristopher cho flagg sayad nazeri skinny williams,0
12,12,5351,350714,Annie Laurie,John McDermott,0,Annie Laurie,1926,,Annie Laurie,lady john scott,0
13,13,5516,654930,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,The Cure,2012,,Save Me,brian elder,0
14,14,6139,694050,Things Behind The Sun,Nick Drake,1972,Things Behind the Sun,2001,,Things Behind the Sun,nick drake,1
15,15,6497,620155,Still In Love,Nick Cave & The Bad Seeds,2003,Snow Day,2000,,Still,dane deviller nick lachey m jeff timmons justin jeffre sean hosein drew lachey 98 degrees,0
16,16,6517,107606,Ocean Pie,Shed Seven,1994,Heartbreak St,2011,Shed Seven: Maximum Hits Live in Bandung,Ocean Pie,shed seven,1
17,17,6866,363167,Two Tickets To Paradise,Eddie Money,1977,Bee Season,2005,,Two Tickets to Paradise,eddie money,1
18,18,6882,668079,One More Chance,W & D,0,The Killer Inside Me,2010,,One Hand Loose,joe d. chastain charlie feathers jerry d. huffman,0
19,19,7112,667180,Close But No Cigar,Weird Al Yankovic,2006,The Jacket,2005,,Close Your Eyes,bernice petkere al bowlly,0
20,20,7634,378638,Cloud 9,Donnie,2002,Brown Sugar,2002,,Cloud 9,donnie,1
21,21,7861,5194,Sometime Around Midnight,The Airborne Toxic Event,2008,90210,2008,Off the Rails (#1.18),Sometime Around Midnight,the airborne toxic event,1
22,22,7957,688570,Evening/Morning,Bombay Bicycle Club,2008,The Truth About Webcam Girls,2014,,Evening/Morning,bombay bicycle club,1
23,23,8199,239224,Step On It (Album Version),Jeff Lorber,2003,The Blacklist,2013,Ruslan Denisov (No. 67) (#2.11),Every Step,jeff tweedy mavis staples,0
24,24,9587,245399,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,The Frank Skinner Show,1995,(#4.7),Touch Me (I Want Your Body),samantha fox,1
25,25,9587,602946,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,Samantha Fox: Making Music,1987,,Touch Me (I Want Your Body),samantha fox,
26,26,9771,65611,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.153),Solta,pedro khima,
27,27,9771,66821,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.36),Solta,pedro khima,
28,28,9771,67111,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.62),Solta,pedro khima,1
29,29,10335,158427,Foggy Mountain Breakdown,Lester Flatt_ Earl Scruggs,1987,Monty Pythons Flying Circus,1969,The Attila the Hun Show (#2.7),Foggy Mountain Breakdown,earl scruggs,1
30,30,10480,477868,Knock Down,Alesha Dixon / Asher D,2006,Hush,2008,,Knock Down,alesha dixon,1
31,31,11830,442369,Ishq Mera Bandagi Hai,Kishore Kumar / Asha Bhosle,0,Foot Path,1953,,Suhaana Hai Yeh Mausam Salona Hai Mera Balam,khayyam asha bhosle,0
32,32,11931,302892,Say You'll Be There (Live),Spice Girls,1998,Top of the Pops,1964,(1996-12-25),Say Youll Be There,spice girls jon b. eliot kennedy,1
33,33,12163,382705,Lean_ Baby (Digitally Remastered '03),Glen Gray & The Casa Loma Orchestra,0,Calgary Stampede,1948,,Rock-a-bye Baby,effie i. canning studio orchestra,0
34,34,12163,527543,Lean_ Baby (Digitally Remastered '03),Glen Gray & The Casa Loma Orchestra,0,M-G-M Jubilee Overture,1954,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra,0
35,35,12280,229679,Thank You Mr. Poobah ( Remastered 97' Version ),The Paul Butterfield Blues Band,0,SuperStar KZ,2003,(#1.15),Thank You,dido paul herman irina kotlyarova,0
36,36,13002,354142,The Grand Vizier's Garden Party (Entrance) (1994 Digital Remaster),Pink Floyd,0,Assault of Innocence,1975,,The Grand Viziers Garden Party (Entrance),pink floyd,1
37,37,14872,523653,Rock & roll star (Bec 05),Loquillo Y Los Trogloditas,0,Los nÃƒÂ¥Ã‚Â_1 de 40 en concierto,2006,,Rock & Roll Star,sabino mÃƒÅ’Ã‚Â©ndez loquillo pereza,1
38,38,15121,336359,A Woman A Man Walked By / The Crow Knows Where All The Little Children Go,PJ Harvey / John Parish,2009,A Town Like Alice,1956,,Theres a Friend for Little Children,john stainer,0
39,39,16983,388065,Camino Interior,Chambao,2005,Chambao puro,2005,,Camino interior,chambao antonio carmona,1
40,40,17932,305901,Human Being,The New York Dolls,1974,True Detective,2014,Church in Ruins (#2.6),Human Being,new york dolls,1
41,41,19206,23504,Laat het licht maar uit (we doen het in 't donker),Ronnie van Bemmel,2008,Bassie en Adriaan en de plaaggeest,1978,Bij de bakker (#1.1),Het bakkerslied,bas van toor aad van toor rinus van galen,0
42,42,19270,652223,Jesus_ Lover Of My Soul (Jesu Joy Of Mans Desire),Richard Smallwood,0,The Candid Kid,1938,,Lover,richard rodgers,0
43,43,19654,553430,Metal Daze,Seven Witches,1999,Natural Selection,2011,,Metal Song,andy creighton seven fists of the ram face,0
44,44,19802,134100,Let The Wind Blow,Brian Wilson,1995,Larry L,2009,Let the Wind Blow,Let the Wind Blow,brian wilson mike love larry l,1
45,45,19924,185424,Tocar Na Banda,Adoniran Barbosa,0,Por Toda Minha Vida,2006,Adoniran Barbosa (#4.1),Tocar na Banda,adoniran barbosa,1
46,46,19964,512025,Sweeter Than Fever,Dada Life,0,Last Resort,1994,,MORE THAN A CLUE,imitation life alan berman,0
47,47,20637,633817,Somewhere Over Paris,Michael Stanley Band,1998,Suicide Squad,2016,,Over Here,aaquil brown khalif brown andre harris marquel middlebrooks pierre ramon slaughter michael williams rae sremmurd bobo swae,0
48,48,20637,655899,Somewhere Over Paris,Michael Stanley Band,1998,The Delta,1996,,COME OVER,michael rohatyn,0
49,49,20656,104316,Love Me Tender,Elvis Presley,1956,Guapas,2014,Algo tÃƒÅ’ÃƒÂÅcito (#1.39),Love Me Tender,elvis presley vera matson norah jones adam levy,1
50,50,20656,429530,Love Me Tender,Elvis Presley,1956,Elvis: Love Me Tender - The Love Songs,2009,,Love Me Tender,elvis presley vera matson george r. poulton ken darby,1
51,51,20656,686053,Love Me Tender,Elvis Presley,1956,The Story of Elvis Presley,1977,,Love Me Tender,ken darby elvis presley  ) frank sinatra,1
52,52,20769,698235,You Gotta Make It On Your Own,The Pure feat. Peter Kaufmann,0,To Wong Foo Thanks for Everything  Julie Newmar,1995,,Gotta Move,peter matz barbra streisand arrangement with sony music licensing,0
