,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
20,20,555138,276654,Les Deux Pigeons ( Ballet Suite): Pas Des Voiles (Theme Et Variations,Paul Bonneau,0,The Tonight Show Starring Johnny Carson,1962.0,(1989-11-14),Johnnys Theme,paul anka
79,79,889460,276654,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,The Tonight Show Starring Johnny Carson,1962.0,(1989-11-14),Johnnys Theme,paul anka
277,277,811715,214326,You Can't Hurry Love,The Concretes,2002,Skins,2007.0,Finale (#1.9),You Cant Hurry Love,the concretes
357,357,716152,115122,Bigger Than My Body,John Mayer,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
376,376,164360,115122,My Favorite Things,JOHN COLTRANE,1961,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
381,381,838295,115122,With A Little Bit Of Luck (from the musical My Fair Lady),Ron Moody and the Chorus. The National Symphony Orchestra conducted by John Owen Edwards,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
401,401,710573,115122,I Just Had You On My Mind,John Wesley Ryles,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
448,448,679777,115122,Hello My Good Friend (LP Version),John Elefante,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
458,458,920036,115122,Made Up My Mind,John Mooney,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
479,479,385847,115122,Younger Girl [Live],John Sebastian,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
484,484,927074,115122,Like My Creep,Let's Go Outside,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
511,511,911143,115122,My Sweet Girl,John Hiatt,1997,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
539,539,141196,115122,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
