,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
277,277,811715,214326,You Can't Hurry Love,The Concretes,2002,Skins,2007.0,Finale (#1.9),You Cant Hurry Love,the concretes
479,479,385847,115122,Younger Girl [Live],John Sebastian,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
511,511,911143,115122,My Sweet Girl,John Hiatt,1997,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
539,539,141196,115122,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Hung,2009.0,Do It  Monkey (#1.5),Summers Gonna Be My Girl,john krautner+bobby harlow+christopher fachini+the go
621,621,614344,324646,Coke is A Joke,Michael Rose + Sly & Robbie,0,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
740,740,671549,125610,L.A. Project Dream Dance Mix,Yana Kay,2003,Justified,2010.0,Brothers Keeper (#2.9),Dream My Darling,lynda kay parker
774,774,395125,247352,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
775,775,545594,247352,Rock To The Beat,Kevin Saunderson,0,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
851,851,659255,322066,Put A Hole In Yo Back,50 Cent_ DJ Whoo Kid,0,Yo Gabba Gabba!,2007.0,Day Camp (#4.13),Yo Gabba Gabba Theme,dj lance+various artists+adam deibert+jarond gibbs
873,873,877260,374411,The Christmas Song,Warren Hill,0,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
875,875,728861,374411,Lawyers_ Guns And Money (2007 Remastered LP Version),Warren Zevon,1978,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
1156,1156,641022,278691,Look Happy_ It's the End of the World,Matthew Good Band,1997,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1158,1158,169988,278691,(What This World Needs Is) A Few More Rednecks,The Charlie Daniels Band,1989,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1225,1225,892906,278691,Yankee Doodle-The White Cockade-The World Turned Upside Down,U.S. Air Force Band (Fifes & Drums),0,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1424,1424,498042,37566,Tu amor para mÌ_ se acabÌ_,El Combo de las Estrellas - Fernando GonzÌÁlez,0,Buenas noches  bienvenidos,2007.0,(#1.13),Pobrecita de mÌ_,pancho varona+antonio garcÌ_a de diego+joaquÌ_n sabina+ana belÌ©n
1660,1660,178433,134102,Sail Away,Brian Wilson And Van Dyke Parks,1995,Larry L,2009.0,Sail On  Sailor,Sail On  Sailor,brian wilson+van dyke parks+tandyn almer+ray kennedy+jack rieley+larry l
1891,1891,764459,137662,You've Got A Friend (Live),Carole King with James Taylor,2009,Levenslied,2011.0,(#1.3),Youve Got a Friend,carole king+hans dagelet+choir
2042,2042,297223,244695,The Vegan Revolution Draft Dodger Anthem,Good Clean Fun,1998,The Footy Show,1994.0,The Grand Final Footy Show 2012 (#19.27),The Anthem,good charlotte+benji madden+joel madden+john feldmann
2119,2119,364284,386296,How High A Ridge I Could Not Tell (Song For Eugene Levy),White Rainbow,2005,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2135,2135,424651,386296,The Three Song,Thin White Rope,1993,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2265,2265,430685,521891,Mi Sombra En La Pared,Miguel Mateus,0,Lola  la pelÌ_cula,2007.0,,Mi gallo,miguel hermoso+vÌ_ctor reyes+alfonso begara
2512,2512,244757,149791,Never Ending,Elvis Presley with The Jordanaires,1995,Masters of Sex,2013.0,Below the Belt (#2.10),Its Now or Never,wally gold+aaron schrÌ¦der+eduardo di capua+elvis presley
2553,2553,253776,19552,Song About Love (Darius Zickus Remix),Leon Somov & Jazzu,0,Australian Idol,2003.0,Up Close & Personal Special (#3.27),A Song for You,leon russell+daniel spillane
2577,2577,268031,344716,Years After You,Eddie Rabbitt,0,Almost Married,1942.0,,After All These Years,eddie cherkose+jacques press+jane frazee
2583,2583,661238,309909,Los Alamos,Leo GarcÌ_a,2005,Unplugged,1989.0,Charly GarcÌ_a (#6.7),Los dinosaurios,charly garcÌ_a
2713,2713,411295,527543,You Know What The Trouble Is Baby,Tommy Dorsey and His Orchestra,2003,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
2784,2784,455830,527543,Gee Baby,The Johnny Otis Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
2800,2800,12163,527543,Lean_ Baby (Digitally Remastered '03),Glen Gray & The Casa Loma Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
