Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
10,10,5223,493877,Um Gosto De Sol,Milton Nascimento,1972,Jorge  um Brasileiro,1988,,Jorge  Um Brasileiro,tÌÄÕÌâå_lio mourÌÄÕÌâå£o ronaldo bastos milton nascimento,0
13,13,5516,654930,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,The Cure,2012,,Save Me,brian elder,0
15,15,6497,620155,Still In Love,Nick Cave & The Bad Seeds,2003,Snow Day,2000,,Still,dane deviller nick lachey m jeff timmons justin jeffre sean hosein drew lachey 98 degrees,0
18,18,6882,668079,One More Chance,W & D,0,The Killer Inside Me,2010,,One Hand Loose,joe d. chastain charlie feathers jerry d. huffman,0
43,43,19654,553430,Metal Daze,Seven Witches,1999,Natural Selection,2011,,Metal Song,andy creighton seven fists of the ram face,0
47,47,20637,633817,Somewhere Over Paris,Michael Stanley Band,1998,Suicide Squad,2016,,Over Here,aaquil brown khalif brown andre harris marquel middlebrooks pierre ramon slaughter michael williams rae sremmurd bobo swae,0
53,53,20771,5778,Off The Wall,James Cotton,0,@Elevenish,2016,(#1.10),Wax Off,nick kingsley james donald davies,0
66,66,27985,393823,If I Get Lucky,The Johnny Shines Blues Band,2002,Cliff Edwards and His Buckaroos,1941,,I Cant Get Along  Little Dogie,m.k. jerome cliff edwards his band,0
86,86,34444,370013,Lighting The Flame (World),Peter Kater,0,Blast from the Past,1999,,Its the End of the World As We Know It,michael stipe peter buck mike mills r.e.m.,0
87,87,34877,177880,Winter Fawn,Matt Pond PA,2010,Parenthood,2010,Lean In (#6.9),Winter,matt corby,0
99,99,45149,477748,Young Hunting,Nancy Kerr & James Fagan,0,Hunting for Herschell,2003,,Suite Hunting,j. michael james,0
129,129,54916,269502,You're Gonna Come To Me,Diana Ross & The Supremes,0,The Sonny and Cher Show,1976,(#1.8),Im Gonna Make You Love Me / My World Is Empty Without You,kenny gamble jerry ross also co-attributed to jerry williams leon huff  / brian holland lamont dozier eddie holland sonny bono cher,0
133,133,56486,42717,The Man With The Magic Touch,The Brian Setzer Orchestra,1996,Cartoon Superheroes Abridged,2015,The Movie (#1.6),Iron Man 3 Theme,brian tyler,0
137,137,57457,191319,Come on in This House,The Paul Butterfield Blues Band,1996,Radio 2: In Concert,2010,Paul Weller,Come On Lets Go,paul weller,0
146,146,60273,627291,You're So Fine (1990 Digital Remaster),Steve Miller Band,1968,Squeeze Play,1979,,Seems So Nice,steve sarabande scot paris,0
151,151,62002,364553,Lets Go Instrumental,DJ Slugo,0,Ben et Thomas,2004,,Lets Go For A Ride,josh colburn dj patton josh spataro rob wells joey wells eleventeen,0
247,247,99955,524271,You Can Be Flirty,Chris T-T,2000,Lottery Ticket,2010,,I Can Transform Ya,chris brown lil wayne swizz beatz jason poo bear boyd lonny bereal,0
250,250,101231,536598,Riding On a Rocket,Rocky Burnette,0,Meanwhile  Back at the Ranch,1976,,Riding Down the Canyon,gene autry smiley burnette,0
267,267,112369,294930,Oh What Day,Viva L'American Death Ray Music,0,Tiny Toon Adventures,1990,Its Buster Bunny Time (#1.9),Where  Oh Where  Has My Little Dog Gone?,music from a german folk song,0
