,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
66,879,879,350579,705579,O Dolci Mani,Giuseppe Di Stefano,0,Two Family House,2000,,Questa o quella (This Woman or That),giuseppe verdi,0
219,310,310,137233,357788,Big Takeover (1991 Digital Remaster),Bad Brains,1983,Bad Brains Live at CBGB OMFUG 1982,2006,,Big Takeover,bad brains,1
153,2021,2021,759656,125684,Big Trouble,Robert Palmer,1994,Justified,2010,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh,0
12,133,133,56486,42717,The Man With The Magic Touch,The Brian Setzer Orchestra,1996,Cartoon Superheroes Abridged,2015,The Movie (#1.6),Iron Man 3 Theme,brian tyler,0
101,1368,1368,516685,681465,Sammy Loves Eddie Hates David,Tim Hecker,2002,The Riddle,2007,,Loves Sneakin Up,tim garland,0
304,1723,1723,659730,467121,How Much I've Lied,Gram Parsons,1973,Heavy,1995,,How Much Ive Lied,gram parsons david z. evan dando,1
297,1580,1580,597799,303260,Who Feels Love?,Oasis,0,Top of the Pops,1964,(2000-04-21),Who Feels Love?,noel gallagher oasis,1
317,1933,1933,732729,228190,Somebody Told Me,The Killers,2004,Subterranean,2003,The Streets,Somebody Told Me,the killers,1
198,2623,2623,931612,21643,If You See Me Comin',Arty Hill and the Long Gone Daddys,0,Ballers,2015,Flamingos (#1.10),If I Ruled the World,nas jean claude olivier kurtis walker blow samuel barnes lauryn hill,0
17,250,250,101231,536598,Riding On a Rocket,Rocky Burnette,0,Meanwhile  Back at the Ranch,1976,,Riding Down the Canyon,gene autry smiley burnette,0
204,2703,2703,952960,12832,What A Friend,George Nooks,0,American Masters,1985,Satchmo: The Life of Louis Armstrong (#4.3),What a Wonderful World,bob thiele george david weiss,0
150,1981,1981,747695,444200,I'm Stuck,Alexandre Desplat & Aaron Zigman,2007,Frank Sinatras Welcome Home Party for Elvis Presley,1960,,Stuck on You,aaron schrÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_der j. leslie mcfarland elvis presley the jordanaires,0
389,2739,2739,961264,462088,Duke of Earl,Gene Chandler,1961,Hairspray,1988,,Duke of Earl,earl edwards gene chandler bernice williams,1
30,376,376,158600,403465,Hey Lady Part 2 (Interlude),Marc Nelson,0,Dagim,2010,,Picture Lady,marc abaya enrique de dios kelly mangahas boogie romero kjwan,0
114,1534,1534,575984,339669,The Real Thing,Phil Lesh & Friends featuring Warren Haynes,2002,Ada,1961,,May the Lord Bless You Real Good,warren roberts wally fowler,0
140,1847,1847,699481,437150,Shut Up B***h (Explicit Album Version),Lil' Kim,2005,Fast Money,2006,,Get Up,r. kim aka chan,0
103,1381,1381,523943,574530,One Fine Day,David Byrne & Brian Eno,2008,Perdona si te llamo amor,2014,,One Day,david schreurs vincent degiorgio caro emerald,0
171,2291,2291,849262,505361,Soleil dans les bouchons,Marcel Et Son Orchestre,2003,LannÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â©e sainte,1976,,Fuite Dans Tanger,claude bolling  et son orchestre,0
224,362,362,153694,599923,Sink Into The Frame Of The Portrait,Dream Warriors,1994,Rude,1995,,Sink Into the Frame of the Portrait,the dream warriors,1
173,2311,2311,856978,724908,Sideshow Blues,Yonder Mountain String Band,2008,Wildlike,2014,,Cowford Blues,john middleton the knotty pines band,0
116,1608,1608,615027,277251,Over There - You're a Grand Old Flag - Yankee Doodle Boy,U.S. Air Force Band,0,The Tonight Show with Jay Leno,1992,(#19.133),Hey There Delilah,tom higgenson the tonight show band,0
327,2071,2071,774123,301018,Turning Japanese,The Vapors,1979,Top of the Pops,1964,(1980-03-20),Turning Japanese,the vapors,1
120,1638,1638,629905,457950,Four Seasons Concerto No. 4 In F Minor - Winter: Allegro,The London Fox Orchestra,0,Grand Theft Auto: Vice City,2002,,Four Little Diamonds,electric light orchestra jeff lynne arrangement with sony music licensing,0
170,2279,2279,844100,159505,Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler_ Moscow RTV Large Symphony Orchestra Kyril Kondrashin_ Various Artist,1987,Mozart in the Jungle,2014,Stern Papa (#2.1),Symphony No. 1 In D Major Titan: III. Feierlich Und Gemessen,gustav mahler lelie resnick,0
253,810,810,325655,173972,The Good Kind [Live],The Wreckers,2007,One Tree Hill,2003,The Tide That Left and Never Came Back (#2.22),The Good Kind,the wreckers,1
300,1646,1646,630088,29291,Muda De Vida,Humanos,2004,Bem-Vindos a Beirais,2013,Rimas ForÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_adas (#4.171),Muda de Vida,antÃŒÃ„ÂÃ•_nio variaÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_ÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Âµes humanos,1
136,1808,1808,686544,264071,World Destruction (Meltdown Remix),Time Zone featuring John Lydon & Afrika Bambaataa,1992,The Ren & Stimpy Show,1991,I Was a Teenage Stimpy/Whos Stupid Now? (#5.6),Natures World 8,john fox,0
268,1073,1073,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013,(#2.2),Let Forever Be,the chemical brothers noel gallagher,1
126,1694,1694,648128,11143,I don't remember you /  Sometimes a day goes by [The Happy Time / Woman of the Year],Bryn Terfel / Paul Gemignani / Orchestra of the Welsh National Opera,0,American Horror Story,2011,Show Stoppers (#4.12),If I Cant Be Yours All Of The Time,the morrie morrison orchestra,0
306,1749,1749,667635,612471,Moon River,Henry Mancini & His Orchestra,1961,Shielas Payoff,1977,,Moon River,henry mancini,1
296,1570,1570,593519,649962,' Cello Song,Nick Drake,0,The Blind Side,2009,,Cello Song,nick drake the books josÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â© gonzÃŒÃ„ÂÃ•ÃŒÃ„Ã¥Âlez,1
274,1159,1159,453218,65463,Saia Indiscreta,FilarmÃŒÃŽ_nica Gil,0,Deixa-me Amar,2007,(#1.14),Saia indiscreta,filarmÃŒÃ„ÂÃ•_nica gil,1
133,1784,1784,678131,493747,Goodbye Baby (Baby Goodbye),Van Morrison,1967,Jolson Sings Again,1949,,Pretty Baby,egbert van alstyne tony jackson al jolson,0
33,440,440,189141,278183,Pack Up Your Troubles In Your Old Kit Bag,Llandudno Show Players,0,The Tonight Show with Jay Leno,1992,(#20.14),Up Around the Bend,john fogerty the tonight show band,0
368,2458,2458,892274,321239,Pencil Full Of Lead (Radio Edit),Paolo Nutini,2009,World Championship Snooker,1973,2015: Day 8  Part 1 (#43.39),Pencil Full of Lead,paolo nutini,1
34,471,471,204509,572448,Baretta: Keep Your Eye on the Sparrow (unrealesed alternative performances),Ron Carter,0,Passion & Poetry: Sams Trucker Movie,2013,,Keep on the Sunny Side of Life,a.p. carter doc watson,0
238,540,540,231113,699472,Banned In DC,Bad Brains,1991,Tony Hawks Proving Ground,2007,,Banned in DC,bad brains paul h.r. hudson gary dr. know miller darryl jenifer,1
97,1305,1305,494876,181119,Steppin' Up In Class,Jimmy McCracklin,0,Petticoat Junction,1963,Kates Homecoming (#5.30),Up  Up and Away,jimmy webb meredith macrae lori saunders linda henning,0
85,1153,1153,449340,724908,Unnamed Blues,New Roanoke Jug Band,0,Wildlike,2014,,Cowford Blues,john middleton the knotty pines band,0
378,2627,2627,932136,411836,Be Bop A Lula,Gene Vincent,1984,Desert Hearts,1985,,BE BOP A LULA,gene vincent donald graves tex davis,1
355,2276,2276,842801,69701,Blood Theme,Daniel Licht,2007,Dexter,2006,Scar Tissue (#8.4),Blood Theme,daniel licht,1
223,359,359,153652,263189,Manhattan Minuet,Raymond Scott,1992,The Ren & Stimpy Show,1991,A Visit to Anthony (#2.11),Manhattan Minuet,raymond scott,1
381,2641,2641,935974,214297,Sky Father,6 Day Riot,2008,Skins,2007,Emily (#4.2),Sky Father,6 day riot,1
380,2634,2634,933791,201808,Sexual Revolution,Macy Gray,2001,Saturday Night Live,1975,Drew Barrymore/Macy Gray (#27.3),Sexual Revolution,macy gray,1
191,2545,2545,914606,582347,Three Blind Mice,Larry Groce/Disneyland Children's Sing-Along Chorus,0,Presenting Lily Mars,1943,,Three OClock in the Morning,juliÃŒÃ„ÂÃ•ÃŒÃ„Ã¥Ân robledo judy garland charles walters chorus in the finale,0
108,1460,1460,549737,706077,Get Out There And Dance (Album Version),Tim O'brien,0,Two-Fisted Rangers,1939,,Get Along Pinto Pony,tim spencer,0
