,Unnamed: 0,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
2404,2404,2404,1104,229697,Call All Angels,The Dolly Rocker Movement,2006,Supergirl,2015.0,Better Angels (#1.20),One Call Away (feat. Tyga) [Remix],charlie puth
3039,3039,3039,1177,238249,I'm Sorry (aka I'm So Sorry) (Album Version),CLUB NOUVEAU,1989,The Big Bang Theory,2007.0,The Graduation Transmission (#8.22),History of Everything (Instrumental version),barenaked ladies
3920,3920,3920,1451,171425,So Many Sides Of You,Bobby Womack,1981,One Hit Wonderland,2012.0,Baby Got Back (#1.2),Me So Horny,luther campbell+brother marquis+mr. mixx+ricardo williams+fresh kid ice+2 live crew
6545,6545,6545,1906,371991,Baby I Love You,The Bar-Kays,1971,Blue Valentine,2010.0,,You Always Hurt the One You Love,doris fisher+allan roberts+ryan gosling
25616,25616,25616,9199,193812,Why don't you eat where you slept last night ?,Zuzu Bollin,0,Red Band Society,2014.0,Pilot (#1.1),Stuck in the Middle With You,gerry rafferty+joe egan+stealers wheel
28075,28075,28075,9587,726853,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,Woodfalls,2014.0,,I Cant Wait,planky
28855,28855,28855,9758,250625,I Ain't Mad At Cha,xLooking Forwardx,2005,The King of Queens,1998.0,Knee Jerk (#8.16),I Put a Spell on You,screamin jay hawkins
33027,33027,33027,10934,436171,Sunday Music Club,Yuichiro Fujimoto,2005,Falscher Bekenner,2005.0,,Approximate Music,
36612,36612,36612,11712,730371,What's in a number & Feed me lies remixes,Theodor Zox,2007,Youre So Cupid!,2010.0,,Another Side Of Me,chris pelcer+leslie mills
55677,55677,55677,21191,58238,Dance To The Music Of The World - Original Re-Mix (Practice Session),Prince With 94 East,0,Dancing with the Stars,2005.0,Dynamic Duos Night (#19.10),Trust,prince
57620,57620,57620,21866,468119,Un compromiso / Toda una vida,Son de la Frontera,0,Hello  My Name Is Doris,2015.0,,String Quartet In D Major Op. 44 No.1 II. Menuetto  Un Poco Allegro,felix mendelssohn-bartholdy+brian h. kim
63736,63736,63736,24370,421893,Go Down (feat. Mistah F.A.B._ Tuff Da Goon_ Bavgate_ Yukmouth_ Miami),Kilo,0,Drillbit Taylor,2008.0,,Somethings Going Down Tonight,andy cooper+rodney pleasant+dustin mcfarland+ugly duckling+arrangement with warner music group film+tv licensing
67201,67201,67201,25418,344920,Edgar The Party Man,John Gorka,1996,Alone,2013.0,,Party,john avarese
71684,71684,71684,27221,370911,Turn The Heat Up,Phil Perry / Lee Ritenour / Eric R. Tagg / Paulinho Costa / Phil Perry / Eric Tagg / Larry Williams,0,Blood Out,2011.0,,Im The Shit,t. lee
74992,74992,74992,28225,586187,The Blood Covers It All (Live),Legacy Five,0,QSW: The Rebel Zone,2001.0,,Live Up,mojah+annan lololi+quamme williams+truth+rights
