,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
140,140,752135,608033,So Real,Jeff Buckley,1994,Secretary,2002.0,,Its So Strange (The Way Love Works),the honeydogs jeff barry ellie greenwich neil diamond
2276,2276,513861,579072,It's Never Sunny In South Philadelphia,The Wonder Years,0,Poetic Justice,1993.0,,Never Dreamed Youd Leave in Summer,stevie wonder syreeta arrangement with polygram special markets
5030,5030,771295,305154,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers noel gallagher
5159,5159,673130,36678,Land Of 1000 Dances,Wilson Pickett,1966,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner wilson pickett
5268,5268,931196,262070,High Noon,Tex Williams & Tex Ritter,0,The Porter Wagoner Show,1961.0,Tex Ritter (#1.101),High Noon,dimitri tiomkin ned washington tex ritter
5329,5329,630088,29145,Muda De Vida,Humanos,2004,Bem-Vindos a Beirais,2013.0,O Dia das ConfissÃŒÂµes (#2.11),Muda de Vida,antÃŒ_nio variaÃŒÂ¤ÃŒÂµes humanos
5853,5853,379037,715244,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Voyage,1993.0,,Rocket Man,elton john bernie taupin
8065,8065,411178,635253,Too Hot To Stop (Pt. 1),The Bar-Kays,0,Superbad,2007.0,,Too Hot to Stop,fred freemand harry l. nehls the bar-kays
9236,9236,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004.0,,Atomic Dog,george clinton   (as george clinton jr.) garry m. shider david l. spradley george clinton
9771,9771,278273,299939,Where Did Our Love Go,Lamont Dozier,0,Top of the Pops,1964.0,(1978-09-07),Where Did Our Love Go?,brian holland lamont dozier eddie holland the manhattan transfer
10148,10148,917310,240895,We Built This City,Starship,1985,The Code,2014.0,(#1.2),We Built This City,bernie taupin martin page dennis lambert pÃŒÂ©ter wolf jefferson starship
10259,10259,455437,395100,Moon River (LP Version),Johnny Crawford,0,Cold Chisel Ringside,2004.0,,Big River,johnny cash cold chisel
10451,10451,882827,703287,When Morning Comes,VIP Mass Choir featuring John P. Kee,0,Trollywood,2004.0,,Sunday Morning,the velvet underground john cale lou reed
12477,12477,755647,100254,Good Time [Craig C. Master Blaster Dub],Leela James,0,Good Times,1974.0,Thelmas African Romance: Part 2 (#4.16),Good Times,dave grusin james gilstrap blinky
12865,12865,117822,464282,It's Hard to Be Me,Cyndi Lauper,2002,Hard to Be Me,2010.0,,Its Hard to Be Me,cyndi lauper rob hyman william wittman
15233,15233,446978,383785,Unchained Melody,Righteous Brothers,1965,Canary Brothers of Tondo,1992.0,,Unchained Melody,alex north the righteous brothers
17539,17539,819517,346665,Little Star,The Elegants,1986,American Hot Wax,1978.0,,Little Star,arthur venosa vito picone the elegants
17591,17591,499545,388741,Ladies Night,Kool And The Gang,1988,Charlie Wilsons War,2007.0,,LADIES NIGHT,george funky brown robert kool bell kool the gang
17776,17776,595261,388741,Good Night,Niko De Luka & Brown Sugar feat. Dawn Tallman,0,Charlie Wilsons War,2007.0,,LADIES NIGHT,george funky brown robert kool bell kool the gang
20791,20791,727067,692188,Mars (Bringer Of War) (1926 recording),Gustav Holst,0,The World Within,2010.0,,Mars  the Bringer of War,gustav holst the us air force band
21616,21616,45719,479180,Bridal Chorus,Richard Wagner / Otto Sieben,1991,I Live for Love,1935.0,,Bridal Chorus,richard wagner
22867,22867,46682,595521,Pump Me Up,DJ Jazzy Jeff & The Fresh Prince;Will Smith,0,Risky Business,1983.0,,The Pump,tony hymas simon phillips jeff beck
23264,23264,937425,355024,God Bless The Child,Chris Botti;Paula Cole,0,August Rush,2007.0,,God Bless the Child,arthur herzog jr. billie holiday chris botti paula cole
23661,23661,295994,712909,Just One More Chance,Les Paul & Mary Ford,2002,VerfÃŒ_hrung fÃŒ_r AnfÃŒ_nger,2005.0,,Just For You,lionel richie paul barry mark taylor
24074,24074,524188,460078,Cross Road Blues,Robert Johnson,0,Guitar Hero,2005.0,,Cross Road Blues,robert johnson
24725,24725,847855,381679,Crank That (Soulja Boy) [Travis Barker Remix],Soulja Boy Tell`em,0,CHIKARA: King of Trios 2009 - Night I,2009.0,,Crank That (Soulja Boy),deandre way cortez soulja boy
28523,28523,828845,519850,Cocinando,Ray Barretto,1972,Little Birds,2011.0,,Cocinando Suave,ray barretto
28555,28555,46964,519850,Cocinando Suave,Ray Barretto,1962,Little Birds,2011.0,,Cocinando Suave,ray barretto
28864,28864,823913,523292,Adoro,Armando Manzanero,2002,Los amores de Juan Charrasqueado,1968.0,,Adoro,armando manzanero
31472,31472,961408,623647,She's About A Mover,Sir Douglas Quintet,1969,Sorority Boys,2002.0,,Shes About a Mover,doug sahm sir douglas quintet
32267,32267,215284,45708,Jingle Bells (Album Version),Boney James,0,Chuck,2007.0,Chuck Versus the Crown Vic (#1.11),Jingle Bells,james pierpont
