,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_artist_name,rtable_song,rtable_artists
0,0,1.0,658428,66710,Um Caso Raro,PÌ_lo Norte,Um caso raro,pÌ_lo norte
1,1,1.0,338391,672346,Ballad Of Big Nothing,Elliott Smith,BALLAD OF BIG NOTHING,elliott smith
2,2,1.0,252630,390966,Dimples,John Lee Hooker,DIMPLES,john lee hooker
3,3,1.0,577289,431375,De Vuelta A Casa,Mercromina,DE VUELTA A CASA,mercromina
4,4,1.0,658428,65230,Um Caso Raro,PÌ_lo Norte,Um caso raro,pÌ_lo norte
5,5,1.0,551253,576545,Me Cago En El Amor,Tonino Carotone,Me cago en el amor,tonino carotone
6,6,1.0,730531,650177,Shake Your Moneymaker,Elmore James,SHAKE YOUR MONEYMAKER,elmore james
7,7,1.0,658428,66540,Um Caso Raro,PÌ_lo Norte,Um caso raro,pÌ_lo norte
8,8,1.0,355364,723749,Whoops Apocalypse,John Otway,WHOOPS APOCALYPSE,john otway
9,9,1.0,248698,728818,Tong Poo,Ryuichi Sakamoto,TONG POO,ryuichi sakamoto
10,10,0.846153846154,565521,151860,Que DifÌ_cil Es Hacer El Amor En Un Simca 1000,Los Inhumanos,QuÌ© difÌ_cil es hacer el amor en un Simca 1000,los inhumanos
11,11,0.833333333333,663657,146443,Canon In D Major,Johann Pachelbel,Canon in D,johann pachelbel
12,12,0.833333333333,139361,629695,Yankee Doodle,George M. Cohan,YANKEE DOODLE DANDY,george m. cohan
13,13,0.833333333333,498644,132527,Toi Mon Amour,Marc Lavoine,Toi mon amour,marc lavoine .
14,14,0.833333333333,21127,44578,Building A Mystery (Live),Sarah McLachlan,Building a mystery,sarah mclachlan
15,15,0.818181818182,336381,631778,Anything Goes_ I Get A Kick Out Of You,Cole Porter,I Get a Kick Out of You,cole porter
16,16,0.818181818182,229335,236837,The Ballad Of The Brave Pink Knight,The Backyardigans,The Ballad of the Brave Pink Knight (Hey Uniqua),the backyardigans
17,17,0.8,439142,257661,Love Is In The Air (Fran Mix),John Paul Young,Love Is In the Air ,john paul young
18,18,0.8,328663,236881,Tuba Polka,The Backyardigans,Tuba Polka (Alternate),the backyardigans
19,19,0.8,373684,158270,Two Hearts (Live),Phil Collins,Two Hearts,phil collins
20,20,0.8,132951,239835,Future Shock (ReMastered),Curtis Mayfield,Future Shock,curtis mayfield
21,21,0.8,789020,542919,Theme From Shaft,Isaac Hayes,Shaft Theme,isaac hayes
22,22,0.777777777778,440234,489407,Baby Got Back (Rock Mix),Sir Mix A Lot,Baby Got Back,sir mix a lot
23,23,0.777777777778,752152,124897,Fool (If You Think It's Over),Chris Rea,Fool (if you think its over),chris rea
24,24,0.777777777778,482862,101486,Ir A MÌÁs,Los Abuelos De La Nada,Ir a mas,los abuelos de la nada
25,25,0.75,156268,340330,Gospel Zone (LP Version),The Shadows Of Knight,Gospel Zone ,the shadows of knight
26,26,0.75,828845,519850,Cocinando,Ray Barretto,Cocinando Suave,ray barretto
27,27,0.75,76235,521278,2 Bad,Michael Jackson,Bad,michael jackson
28,28,0.75,222763,301066,Talk Of The Town (Album Version),The Pretenders,Talk of the Town,the pretenders
