,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
54,748,748,306819,566411,Old Jerry,Stephen Malkmus & The Jicks,2003,One in a Million,1936,,Old Folks at Home (Swanee River),stephen foster the ritz brothers  during their first comedy routine,0
124,1689,1689,646829,556568,New York City (2005 Digital Remaster),John Lennon And Yoko Ono,0,Night of 100 Stars,1982,,New York  New York,john kander fred ebb liza minnelli,0
349,2231,2231,825701,250057,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,The Johnny Cash Show,1969,(#1.8),(Sittin on) The Dock of the Bay,otis redding steve cropper o.c. smith,1
175,2356,2356,868875,423041,Girls Just Wanna Have Fun,Norman Palm,0,Duets,2000,,Just My Imagination (Running Away With Me),norman whitfield barrett strong kenneth babyface edmonds gwyneth paltrow,0
284,1388,1388,529200,634323,Remedy,Seether,2005,Summerslam,2005,,Remedy,seether,1
213,188,188,79018,404213,Night Boat To Cairo,Madness,1979,Dance Craze,1981,,Night Boat to Cairo,madness,1
305,1729,1729,661732,302385,Key To My Life,Boyzone,1995,Top of the Pops,1964,(1995-04-27),Key to My Life,boyzone,1
283,1355,1355,509771,25961,You Don't Just Want To Break Me,Hawksley Workman,0,Being Human,2011,Wouldnt It Be Nice (If We Were Human) (#1.4),You Dont Just Want To Break Me (You Want To Tear Me Apart),hawksley workman,1
100,1364,1364,513861,579072,It's Never Sunny In South Philadelphia,The Wonder Years,0,Poetic Justice,1993,,Never Dreamed Youd Leave in Summer,stevie wonder syreeta arrangement with polygram special markets,0
196,2607,2607,928450,695853,I'm Old Fashioned,Stacey Kent,0,Three Little Sisters,1944,,Little Old Fashioned Looking Glass,walter kent,0
142,1905,1905,720986,418368,Say Forever You'll Be Mine,Porter Wagoner & Dolly Parton,0,Dolly: A Collection of Hits & Duets,2014,,Mama Say A Prayer,dolly parton,0
