Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
323,323,140145,135268,Save Me,Aimee Mann,1999,Late Show with David Letterman,1993,(#12.99),Save Me,aimee allen scott russo linda perry unwritten law,
946,946,372252,486415,Carmen Suite: Intermezzo,Georges Bizet,1993,Invisible Ink,2015,,Carmen,georges bizet,
1189,1189,460536,571866,Another Man,Barbara Mason,1984,Paris Is Burning,1990,,Another Man Is Beating My Time,barbara mason,
1241,1241,471580,216299,Medley: Papa's Got A Brand New Bag / I Got You (I Feel Good) / I Got The Feelin',James Brown / The J.B.'s,0,So You Think You Can Dance,2005,1 of 11 Voted Off (#7.7),I Got the Feelin,james brown,
1606,1606,614254,244743,Hark the Herald Angels Sing,John Berry,0,The Fosters,2013,Christmas Past (#2.11),Hark the Herald Angels Sing,john swanson,
2100,2100,785964,355957,Concerto for Horn & Strings: I. Allegro Moderato - Cadenza,London Philharmonic Orchestra,0,Away We Go,2009,,The Four Seasons Spring Violin Concerto in E. Allegro,antonio vivaldi royal philharmonic orchestra,
2369,2369,871241,11228,O Holy Night,The Mississippi Mass Choir,0,American Horror Story,2011,Unholy Night (#2.8),O Holy Night,north star boys choir,
2370,2370,871241,205301,O Holy Night,The Mississippi Mass Choir,0,Scrubs,2001,My Own Personal Jesus (#1.11),O Come  All Ye Faithful,john francis wade donald faison the choir,
2371,2371,871241,584088,O Holy Night,The Mississippi Mass Choir,0,Promised Land,1987,,O Magnum Mysterium,giovanni palestrina choir of kings college cambridge  (as kings college choir cambridge),
2720,2720,956762,180500,Wagner: Tristan und Isolde: Auf! Auf! Ihr Frauen!,Richard Wagner,0,Penny Dreadful,2014,SÌÄÕÌâå©ance (#1.2),Tristan und Isolde,richard wagner,
