,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
4200,4200,497988,527543,Baby_ can I hold you tonight,Tracy Chapman / Luciano Pavarotti / Orchestra Sinfonica Italiana / JosÌ© Molina,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser the mgm symphony orchestra
4956,4956,150750,153228,Why Should Love Be This Way,Michael Stanley Band,1992,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch michael feinstein
5002,5002,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers noel gallagher
8437,8437,854503,306518,Como Quien Pierde Una Estrella,Alejandro Fernandez,1995,Tu cara me suena,2011.0,(#1.10),Como yo te amo,manuel alejandro ana magdalena toÃŒÂ±i salazar francisco
9754,9754,945769,299939,This Is the One Thing We Did Not Want to Have Happen,The Brian Jonestown Massacre,2010,Top of the Pops,1964.0,(1978-09-07),Where Did Our Love Go?,brian holland lamont dozier eddie holland the manhattan transfer
9809,9809,84820,38970,Gunpowder & Lead,Miranda Lambert,2009,CMT Top 20 Countdown,2001.0,(2007-11-29),Gunpowder and Lead,miranda lambert jack ingram
10681,10681,895616,177869,Party and Bullshit (feat. Big Ben & Shadow),Tech N9NE Collabos featuring Big Ben_ Shadow,0,Parenthood,2010.0,Keep on Rowing (#4.12),Do With You (feat. Ben Folds),ryan lerman ben folds
12160,12160,157054,129638,Main Title,The Boston Pops Orchestra / John Williams,0,Klemmeni zoi,2007.0,(#1.4),Usual Suspects Main Theme,john ottman
14077,14077,228192,386647,Little Curly Hair In A High Chair,Helen O'Connell & the Jimmy Dorsey Orchestra,2000,Catch Me If You Can,2002.0,,Im Shooting High,jimmy mchugh ellis hall bebopera
14847,14847,916363,697832,Turn your heart in my direction,Janiva Magness,0,Titan A.E.,2000.0,,Its My Turn to Fly,steve ewing karl grable jerry jost clif magness john pessoni the urge
