,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_artist_name,rtable_song,rtable_artists
0,0,0.5,848977,540469,Brian Eno,MGMT,Aragon,brian eno
1,1,0.5,164125,668946,Rain (The Cult),love like blood,Love Like Blood,
2,2,0.5,629802,433493,Ham,Dead Man Ray,Dead Man,
3,3,0.5,790654,605059,Jacques higelin,Tango,Theme ,jacques higelin
4,4,0.5,782830,216311,Black Gold,Y&T,Shine,black gold
5,5,0.5,896984,433493,Bread,Dead Man Ray,Dead Man,
6,6,0.5,27228,668946,Night Is Young,love like blood,Love Like Blood,
7,7,0.5,453779,669265,Words,Doves,Doves,
8,8,0.428571428571,9296,91307,Full Brazilian,Big Boss Man,Big Boss Man,jimmy reed
9,9,0.428571428571,448608,285628,The Body Electric,Rush,The Rush,pedro rousseau+fresh body shop
10,10,0.428571428571,678895,640262,The Law,Sunz Of Man,The Way of A Man,
11,11,0.428571428571,113149,301180,Crane Game,Ashes to Ashes,Ashes to Ashes,david bowie
12,12,0.416666666667,694379,416074,War Pigs (Featuring Steven Drozd of the Flaming Lips),Cake,Drone,steven drozd  of the flaming lips
13,13,0.4,544020,602895,The New Order,Veljanov,Skullcrusher,new order
14,14,0.4,585918,107277,Kiss the Pig,Today Is The Day,The Day Is My Enemy,the prodigy
15,15,0.4,20395,337510,Faulter,Strung Out,Strung Out,roger smalley
16,16,0.4,848977,570549,Brian Eno,MGMT,Alternative 3,brian eno
17,17,0.4,291431,103939,Richard,Billy Bragg,Tracking Billy,richard marvin
18,18,0.4,548453,16394,Bloody,ARRESTED DEVELOPMENT,Arrested Development,david schwartz
19,19,0.4,315927,337510,Cemetery,Strung Out,Strung Out,roger smalley
20,20,0.4,897916,608565,Vuelve A Mi,Selena,Popurri a Selena,
21,21,0.4,300814,284567,Broken,Bang Bang,Bang Bang,dizzy gillespie
22,22,0.4,706740,433643,Orange Street,The Selecter,Again,orange street
23,23,0.375,421773,516815,Peter Gunn,The Classics Big Band,Big Band Blast,peter allen
24,24,0.375,960990,203309,The Shadowchamber,Night In Gales,Tumble In The Night,desmond child+rouge
25,25,0.375,746472,175849,Beginning of The End,Trance Control,Control,serpents of the she
26,26,0.375,7233,613778,Introducing,Boys Night Out,Boys Night Out,kris kurry+eddie wilde+k.k. wilde
27,27,0.375,692525,676060,Introduction,I Am The Pilot,I Am the Mercury,jimmie spheeris
28,28,0.375,689766,520923,The Swarm,At The Gates,Up at the Lake,the charlatans
29,29,0.375,176672,188473,Let's Wrestle,Joan Of Arc,Joan of Arc,emily wells+jeremy ross
30,30,0.375,692525,405379,Introduction,I Am The Pilot,I Am,the will to power
31,31,0.375,940344,634665,New York City,Zane,Ride That Wave,new york city band
32,32,0.375,960990,202318,The Shadowchamber,Night In Gales,Night in My Veins,the pretenders
33,33,0.375,960990,477701,The Shadowchamber,Night In Gales,Cry In The Night,hamilton+joe frank+weber
34,34,0.375,960990,482055,The Shadowchamber,Night In Gales,Rainy Night in Soho,the pogues
35,35,0.375,842721,551261,Space Is the Place,Sun Ra Arkestra,The Sun is Shinig,
36,36,0.375,832710,92568,Rainbow In The Sky,Ziggy Marley,Home,explosions in the sky
37,37,0.375,918207,56662,21st Century Digital Girl,Groove Coverage,Dance Doctor,21st century girl
38,38,0.375,455075,668946,A Strange Day (The Cure),love like blood,Love Like Blood,
39,39,0.375,788305,195301,Tigers And Sharks,You Me At Six,You and Me,you+me
40,40,0.375,253587,152834,Left Out In The Rain,Air Traffic,In The Air Tonight,
41,41,0.375,365662,305930,The Change,Worth Dying For,The Only Thing Worth Fighting For,
42,42,0.375,490988,92568,Spirit In The Sky,Norman Greenbaum,Home,explosions in the sky
43,43,0.375,170559,565645,On The Hill,The Wolfgang Press,The Wheels On The Bus,
44,44,0.375,294750,5344,The Angels Listened In,The Crests,In The Mood,the syndakit
45,45,0.375,7233,353409,Introducing,Boys Night Out,BOYS NIGHT OUT,tower of power+ellis hall
46,46,0.375,575480,178122,Down In The Ghetto,Nitty Gritty,The Nitty Gritty,shirley ellis
47,47,0.363636363636,805412,673911,Wicker Man,The More I See,The More I See You,mack gordon+harry warren+chris montez
48,48,0.363636363636,85692,10509,Things That Go Jingle In The Night,Hall Of Fame,Hall of Fame,the script
49,49,0.357142857143,490039,554630,Power in the Blood,The Sons Of the Pioneers,The Story of the Lady in the Fan,bonnie bonnell
50,50,0.333333333333,203856,474911,Roxanne,The Police,Runnin From The Police,c-murder+mystikal
51,51,0.333333333333,717355,362308,The Plan (Reprise) ,Madlib The Beat Konducta,Baptize the Beat,the system
