,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_artist_name,rtable_song,rtable_artists
0,0,0.875,804490,13937,Here We Go Round The Mulberry Bush,Traffic,Here We Go Round the Mulberry Bush,
1,1,0.875,804490,14827,Here We Go Round The Mulberry Bush,Traffic,Here We Go Round the Mulberry Bush,
2,2,0.818181818182,336381,631778,Anything Goes_ I Get A Kick Out Of You,Cole Porter,I Get a Kick Out of You,cole porter
3,3,0.8,428875,366526,Man of Constant Sorrow,UncleFucker,Man of Constant Sorrow,
4,4,0.8,553917,341139,Crawling In The Dark,Hoobastank,Crawling in the Dark,
5,5,0.777777777778,208317,497769,Every Little Thing She Does Is Magic,The Police,Every Little Thing She Does Is Magic,
6,6,0.777777777778,804490,541890,Here We Go Round The Mulberry Bush,Traffic,Here We Go Round the Mulberry Bush,traditional
7,7,0.75,412104,372942,Frankie and Johnny,Snakefarm,Frankie and Johnny,
8,8,0.75,412104,362957,Frankie and Johnny,Snakefarm,Frankie and Johnny,
9,9,0.75,161517,224794,When The Saints Go Marching In,Weavers,When the Saints Go Marching In,traditional
10,10,0.75,515147,558413,Little More Time,Zox,Little More Time,
11,11,0.75,793961,679289,Deck The Halls,Yellowjackets,Deck the Halls,
12,12,0.75,299466,25659,Move Your Body,Malente,Move Your Body,
13,13,0.75,793961,129521,Deck The Halls,Yellowjackets,Deck the Halls,
14,14,0.75,793961,672614,Deck The Halls,Yellowjackets,Deck the Halls,
15,15,0.75,299466,76260,Move Your Body,Malente,Move Your Body,
16,16,0.75,299466,76204,Move Your Body,Malente,Move Your Body,
17,17,0.714285714286,868875,235671,Girls Just Wanna Have Fun,Norman Palm,Girls Just Wanna Have Fun,
18,18,0.714285714286,921146,312512,Pick Up The Phone,The School,Pick Up The Phone,the notwist
19,19,0.714285714286,281105,357791,I and I Survive,Bad Brains,I and I Rasta,bad brains
20,20,0.714285714286,383982,150162,Just A Little Bit More,Tommy Sands,Just A Little Bit More,
21,21,0.714285714286,565521,151860,Que DifÌ_cil Es Hacer El Amor En Un Simca 1000,Los Inhumanos,QuÃŒÂ© difÃŒ_cil es hacer el amor en un Simca 1000,los inhumanos
22,22,0.714285714286,713840,564729,On Top Of Old Smoky ,The Weavers,On Top of Old Smoky,
