,id,title,artist_name,year
180224,792077,Bad Moon Rising,Creedence Clearwater Revival,1969
557058,288542,State Of Tennessee Blues,Memphis Jug Band,2001
322219,304078,Better Things,Get Cape. Wear Cape. Fly,2008
458756,548813,Summer On The West Hill,Kings Of Convenience,2001
229383,62002,Lets Go Instrumental,DJ Slugo,0
851981,424500,A Thousand Years Of Deconstruction,The Megaphonic Thrift,2009
584365,189806,Last Night's Dream,MOTH,0
360465,900661,Pop_ Lock & Drop It  (Instrumental Beats),Hip Hop Hitmakers,0
524834,685155,I Want You_ I Need You,Mae West,1996
720920,110898,Wo Yao Huo Xia Qu,Sally Yeh,0
524313,717355,The Plan (Reprise) ,Madlib The Beat Konducta,0
655386,870315,Right Hand Traffic,Pia Fraus,2002
557083,108832,Potpourri: A. Perro Lloron_ B. Boogie del Preso_ C. Boogie Mama,Memphis La Blusera,0
393245,165037,Almost Like Being In Love,Jane Morgan,0
950304,714670,The Day The World Turned Day-Glo,X-Ray Spex,1991
174768,118285,Fox On The Run,Contraband,0
426019,143097,It Was Rainin',Johnny Winter,1977
852004,927205,Delivered From All Blindness of Heart,The Meligrove Band,2005
105839,173304,Lazy Lightnin',Bob Weir,0
917511,300672,The Best Time Of The Day,Union Wireless,0
467005,943631,Don't Hold Me Back,Krosfyah Feat. Tony Bailey,0
753710,278388,Paloma Blanca,Siw Malmqvist,2003
524335,171064,Love Really Hurts,Madness,0
458800,301026,Talihina Sky,Kings Of Leon,2003
884028,275236,O fortuna,THERION,2000
426036,181035,Busted In Austin,Johnny Winter,1990
720949,701660,Qian Jin Nan De Mei Ren Xin,Sally Yeh,0
950326,555204,Hot Shot,X-Wife,2006
482713,869261,Rin Tin Tin,Leevi and the leavings,1988
950329,656042,Bright Lights_ Big City,X-Wife,2006
524346,79018,Night Boat To Cairo,Madness,1979
458813,951133,Wicker Chair,Kings Of Leon,2003
950335,273833,Heaven Knows,X-Wife,2008
98368,831774,Sad Song (Jason Nevins Radio Edit),Blake Lewis,0
65604,677847,Meteorical,B.E.N. vs. Mr. Pit,0
360518,852646,Dreaming,Hip Hop Pantsula,0
884807,143937,Outlaw Blues,Thin White Rope,1993
846519,550933,The Christmas Song (Merry Christmas To You),The King Cole Trio,0
393292,758032,Speak Low,Jane Morgan,0
884814,424651,The Three Song,Thin White Rope,1993
294991,793553,Caminitos Hacia El Cosmos,Fobia,1992
213424,177108,Hope In God,Dennis Jernigan,0
20734,577598,Danny Boy,Al Hibbler,1991
557138,309211,La potra,Memphis La Blusera,2001
819283,346745,Just One of the Guys,The Blondes,0
936515,369009,Out Tha Gate (feat. Zane_ Nell of Loced Out Lunatics),Wax,0
852058,772051,Do Baby Do,The Mello-Kings,1994
453913,547772,Nan Yin,Khalil Fong,0
950365,563558,Sleeping Dogs Lie,Xandria,2007
895675,212903,Spring Fever,Tom Barabas,0
950289,661552,Oh Bondage_ Up Yours!,X-Ray Spex,1978
229480,184117,You Can't Hide From Your Bud,DJ Sneak,1997
98409,472029,Only Anesthesia,Blake Morgan,0
884842,528843,Sunset,Thingy,2000
262251,768723,Uncomplicated,Elvis Costello & The Attractions,1989
950380,936852,Tocame El Pito,Xandro Y Su Punto,0
