,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
5,5,935165,23560,Halloween II Theme,John Carpenter_ Alan Howarth,0,Bassie en Adriaan en de reis vol verrassingen,1994.0,Het pad der beroemdheden (#1.10),Theme from Halloween,john carpenter
7,7,192175,23560,Main Title Theme,John Carpenter,1984,Bassie en Adriaan en de reis vol verrassingen,1994.0,Het pad der beroemdheden (#1.10),Theme from Halloween,john carpenter
9,9,599342,23560,Halloween - Theme,John Carpenter,0,Bassie en Adriaan en de reis vol verrassingen,1994.0,Het pad der beroemdheden (#1.10),Theme from Halloween,john carpenter
15,15,497153,714245,It's Your Thing,The Isley Brothers,1969,Virgin Snow,1976.0,,It Your Thing,the isley brothers
22,22,692329,115202,I'll Be Your Man,The Black Keys,2002,Hung,2009.0,Third Base or the Rash (#2.8),Ill Be Your Man,the black keys
24,24,940850,645370,Don't You (Forget About Me) (Live),Simple Minds,1988,The 82nd Annual Academy Awards,2010.0,,Dont You (Forget About Me),simple minds
32,32,933149,614719,The Nutcracker Op.71-atto 1 - Marche,Pyotr Il'yich Tchaikovsky,0,Sidewalks of New York,1931.0,,Marche Slave  Op.31,pyotr ilyich tchaikovsky
37,37,676173,459955,Jazz_ Delicious Hot_ Disgusting Cold,The Bonzo Dog Doo Dah Band,0,Guest House Paradiso,1999.0,,Jazz Delicious Hot  Disgusting Cold,vivian stanshall+neil innes+legs larry smith+rodney slater+the bonzo dog doo-dah band
41,41,713790,411194,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Der Wadenmesser,2005.0,,Eine kleine Nachtmusik,wolfgang amadeus mozart
43,43,826429,411194,Eine kleine Nachtmusik / A Little Night Music,Wolfgang Amadeus Mozart,0,Der Wadenmesser,2005.0,,Eine kleine Nachtmusik,wolfgang amadeus mozart
59,59,533475,197042,No Good (Album Version),River City Rebels,0,Rockopop,1988.0,(1990-02-10),Say Something Good,river city people
60,60,864555,321178,God Put A Smile On Your Face,Mark Ronson feat. The Daptone Horns,2007,World Championship Snooker,1973.0,2015: Day 17  Part 2 (#43.80),God Put a Smile Upon Your Face,mark ronson+daptone horns
71,71,727067,406480,Mars (Bringer Of War) (1926 recording),Gustav Holst,0,David Copperfield: 15 Years of Magic,1994.0,,Saturn  the Bringer of Old Age,gustav holst
90,90,904546,68640,S.O.P. Theme #3: Feelings And Facts,Danny Elfman,0,Desperate Housewives,2004.0,In Buddys Eyes (#4.12),Desperate Housewives Theme,danny elfman
93,93,933639,431346,Si Tienes Sed,María José Hernández,0,Entre dos amores,1972.0,,Me tienes enamorao,josé maría garcía escobar+manolo escobar
