,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
232,6928,6928,393791,155174,I Want You,Rick Springfield,0,Mission: Magic!,1973,Nephren (#1.13),I Know That Its Magic,rick springfield,0
224,6686,6686,563306,191430,Sweet Child O' Mine,Guns N' Roses,1987,Rage,1987,Grinspoon Guest Program Rage II,Sweet Child o Mine,axl rose+slash+izzy stradlin+duff mckagan+steven adler+guns n roses,1
252,7359,7359,877636,136402,The Count (aka Hervͩ) And Lily Face The Fear,Lily Allen,2009,Later... With Jools Holland,1992,(#34.4),The Fear,lily allen,0
254,7531,7531,66307,565592,MADAMA BUTTERFLY: Adesso voi siete per me,Giacomo Puccini,0,One Eyed Girl,2014,,Madam Butterfly: Humming Chorus,giacomo puccini,1
417,12578,12578,445657,594205,And The Cradle Will Rock... (Remastered Album Version),Van Halen,0,Ricky 6,2000,,And The Cradle Will Rock...,van halen,1
106,3455,3455,842597,302069,This Ain't A Love Song,Bon Jovi,1995,Top of the Pops,1964,(1986-09-04),You Give Love a Bad Name,jon bon jovi+richie sambora+desmond child+bon jovi,0
278,8457,8457,835974,85514,Who Do You Love,Steve Miller Band,1994,Everybody Loves Raymond,1996,Crazy Chin (#8.18),Jungle Love,steve miller band,0
63,2300,2300,106567,698684,Suite Bergamasque (arr. For Harp And Oboe): Claire De Lune,Claude Debussy,0,Tokyo Sonata,2008,,Claire de Lune,claude debussy,1
336,9973,9973,870098,406733,Serenade in Blue (From Orchestra Wives),The Glenn Miller Orchestra;Ray Eberle,0,Day-Time Wife,1939,,Moonlight Serenade,glenn miller,0
377,10984,10984,954605,113953,Fox Chase,Sonny Terry & Brownie McGhee,2000,House of Lies,2012,The Runner Stumbles (#2.7),Fox Chase,brownie mcghee+sonny terry,1
386,11277,11277,351998,43510,Sweet home Alabama,Lynyrd Skynyrd,1974,Cavemen,2007,Pilot (#1.0),Sweet Home Alabama,lynyrd skynyrd,1
