,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
361,10631,10631,764342,68686,Alice's Theme,Danny Elfman,2010,Desperate Housewives,2004,One Wonderful Day (#1.23),Theme From Desperate Housewives,danny elfman,0
249,7335,7335,905861,256782,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,The Muppet Show,1976,Helen Reddy (#3.13),PathÍ©tique Sonata,ludwig van beethoven,0
271,8222,8222,52314,8029,I Get Around (Mono),The Beach Boys,2009,Age tendre et tÍ_te de bois,1961,(1964-11-10),I get around,brian wilson+mike love+the beach boys,1
434,13260,13260,809980,677053,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Other Side of Rick Wakeman,2007,,Life On Mars,david bowie,1
397,11716,11716,800327,90797,Good Times (Radio Edit),Roll Deep,2010,Formula 1: BBC Sport,2009,The Monaco Grand Prix (#2.17),Good Times,roll deep,1
402,11898,11898,831341,169773,Walk On The Wild Side,Lou Reed,1972,OchÍ©ntame... otra vez,2014,Cuando Madrid se movÍ_a (#1.18),Walk on the Wild Side,lou reed,1
12,670,670,73772,230813,Pikkuneiti ja vaari,Juice Leskinen,1993,Syksyn sÍ_vel,1968,Syksyn sÍ_vel  karsitut (#10.2),Anne ja Jacques,juice leskinen,0
399,11776,11776,477629,472213,Voodoo Child (Slight Return),Jimi Hendrix,1984,Hollywood Hulk Hogan: Hulk Still Rules,2002,,Voodoo Child,jimi hendrix,1
198,6124,6124,367238,89587,Lover_ You Should've Come Over,Jeff Buckley,0,Flashforward,2009,137 Sekunden (#1.3),Lover  You Shouldve Come Over,jeff buckley,1
205,6292,6292,408619,219095,I've Got No Strings,Gipsy Kings,2000,Some Jerk with a Camera,2011,Its a Small World Holiday: Part Two (#1.10),Ive Got No Strings,gipsy kings,1
78,2799,2799,753265,226944,Trio C-Moll fÍ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Street Fighter: The Animated Series,1995,So  You Want to Be in Pictures (#2.5),Toccata and Fugue in D Minor  BWV 565,johann sebastian bach,0
