Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artist_name,gold
172,172,740031,487873,Richter Scale Madness,...And You Will Know Us By The Trail Of Dead,1998,Its All Gone Pete Tong,2004,,Ritcher Scale Madness,and you will known us by the trail of dead,1
190,190,793988,350918,Day Tripper,Nancy Sinatra,1966,Another Gay Sequel: Gays Gone Wild!,2008,,Another Gay Sunshine Day,nancy sinatra,0
200,200,384331,238323,Testing 1_ 2_ 3 (Album Version),Barenaked Ladies,2003,The Big Bang Theory,2007,The Leftover Thermalization (#8.18),History of Everything (Instrumental version),barenaked ladies,0
241,241,682167,384500,Children Of The Future,Steve Miller Band,1968,Captain Milkshake,1970,,Children of the Future,steve miller+the steve miller band,1
446,446,813762,95059,All I Know,The Pigeon Detectives,2007,Gavin & Stacey,2007,(#2.7),I Found Out,the pigeon detectives,0
452,452,586556,79955,Setting Sun (2003 Digital Remaster) (Feat. Noel Gallagher),The Chemical Brothers Featuring Noel Gallagher,2008,Egos & Icons,1997,Oasis,Setting Sun,tom rowlands+ed simons+noel gallagher+the chemical brothers,1
465,465,545027,362190,Looking Down The Barrel Of A Gun (DJ Moe Love Remix),Beastie Boys,2000,Beastie Boys: Video Anthology,2000,,Looking Down the Barrel of a Gun,the beastie boys,1
559,559,696952,235961,Have I Told You Lately That I Love You,Kitty Wells & Roy Drusky,0,The Aliens,2016,(#1.3),The Things I Might Have Been,kitty wells,0
562,562,288397,317436,Life Goes On,TURNING POINT,0,Weltber_hmt in _sterreich - 50 Jahre Austropop,2006,Die Szenen der Szene (#2.1),Life Is Going On,turning point,1
579,579,53553,239195,I'm Sorry But I'm Beginning To Hate Your Face,Eagle Seagull,2007,The Blacklist,2013,Milton Bobbit (No. 135) (#1.18),Im Sorry  But Im Beginning To Hate Your Face,eagle seagull,1
625,625,521603,471116,Woman By My Side,Peter Ram,0,Hit for Six,2007,,Woman by my Side,peter ram,1
634,634,462355,630433,O Mio Babbino Caro from Gianni Schicchi,Kiri Te Kanawa;John Pritchard;The London Philharmonic Orchestra,0,Stiff Upper Lips,1998,,O mio babbino caro,giacomo puccini+the brt philharmonic orchestra,1
670,670,73772,230813,Pikkuneiti ja vaari,Juice Leskinen,1993,Syksyn s_vel,1968,Syksyn s_vel  karsitut (#10.2),Anne ja Jacques,juice leskinen,0
686,686,456261,525716,Searching For A Heart,Warren Zevon,1991,Love at Large,1990,,Searching For A Heart,warren zevon,1
