song_id,track_id,title,artists,song,year,episode,episode_year
9587,602946,Samantha Fox: Making Music,samantha fox,Touch Me (I Want Your Body) ?09,1992,,1987.0
10335,158427,Monty Pythons Flying Circus,Lester Flatt_ Earl Scruggs,Foggy Mountain Breakdown,1987,The Attila the Hun Show (#2.7),1969.0
11931,302892,Top of the Pops,spice girls+jon b.+eliot kennedy,Say You'll Be There (Live),1998,(1996-12-25),1964.0
21127,44578,Charmed,sarah mclachlan,Building A Mystery (Live),1999,Something Wicca This Way Comes (#1.1),1998.0
21998,300345,Top of the Pops,eddie floyd+steve cropper+amii stewart,Knock on Wood,1967,(1979-04-19),1964.0
30017,298364,Top club dimanche,barry gibb+maurice gibb+robin gibb+the bee gees,Too Much Heaven (Album Version),1979,(1978-12-24),1978.0
40164,372657,Boca,barrington levy+phil roy+bob thiele,VICE VERSE LOVE,1998,,1994.0
42185,298458,Top of the Pops 2,kim deal+anne dudley+keith flint+trevor horn+liam howlett+jonathan jeczalik+gary langan+paul morley+the prodigy,Firestarter,1996,TOTP2 Presents the Nineties,1994.0
44262,301122,Top of the Pops,hot chocolate,No Doubt About It,1980,(1980-05-15),1964.0
45719,145406,M*A*S*H,Richard Wagner / Otto Sieben,Bridal Chorus,1991,Goodbye  Farewell  and Amen (#11.16),1972.0
45719,359466,Banjo on My Knee,Richard Wagner / Otto Sieben,Bridal Chorus (Here Comes the Bride),1991,,1936.0
45719,404308,Dance Hall,Richard Wagner / Otto Sieben,Bridal Chorus,1991,,1941.0
45719,479180,I Live for Love,Richard Wagner / Otto Sieben,Bridal Chorus,1991,,1935.0
48010,281882,The Vampire Diaries,oberhofer,Away Frm U,2010,We All Go a Little Mad Sometimes (#4.6),2009.0
54807,48681,CompaÌ±eros,rosana arbelo,En la otra orilla,2001,Nos han engaÌ±ado (#8.5),1998.0
57832,500215,Kid Millions,gaston lyle+eddie cantor,The Man on the Flying Trapeze,1994,,1934.0
70050,501209,Kim Wilde: The Video Music Collection,kim wilde,View From A Bridge (Raw Remix) (Edit),1987,,1984.0
71124,438410,Feudin Rhythm,tex owens+eddy arnold,Cattle Call,2004,,1949.0
74997,182126,Play for Today,john lennon+paul mccartney,Lucy in the Sky with Diamonds,1974,The Flipside of Dominick Hide (#11.8),1970.0
76639,479339,I Love You  Dont Touch Me!,pierre marchand+sarah mclachlan,Fumbling Towards Ecstasy,1999,,1997.0
80699,86786,Fallen Angels,jerome kern+dorothy fields+fred astaire,The Way You Look Tonight,1998,The Professional Man (#2.2),1993.0
84820,38970,CMT Top 20 Countdown,miranda lambert+jack ingram,Gunpowder and Lead,2009,(2007-11-29),2001.0
86129,46178,CinÌ©ma de minuit,francis lai,Les Ì©toiles du cinÌ©ma,1996,,1976.0
86604,103417,Greys Anatomy,unkle bob,Swans,2006,Some Kind of Miracle (#3.17),2005.0
89508,202119,Saturday Night Live,the black eyed peas+fergie+will.i.am+taboo+david guetta+apl.de.ap+frederic riesterer,I Gotta Feeling (Edit),2009,January Jones/Black Eyed Peas (#35.6),1975.0
89865,247165,The Graham Kennedy Show,jeff barry+mentor williams+john farnham,I Can't Dance To Your Music,1995,(1973-08-14),1968.0
97668,73473,Dolly,tim dubois+dolly parton+jerry reed,She Got The Goldmine (I Got The Shaft),1993,(#1.8),1987.0
99421,175193,OperaciÌ_n triunfo,mÌ_nica naranjo+giulia fasolino+bruno zucchetti+anna gotti,Chicas Malas (Album Version),2002,Gala 11 (#6.12),2001.0
110859,10030,Alma GÌ»mea,Kenny G featuring Arturo Sandoval,At Last,2009,,2005.0
119201,342264,Alanis Morissette: Feast on Scraps,alanis morissette  / glen ballard+alanis morissette,You Learn (Acoustic Album Version),2005,,2002.0
120424,272420,The Thorn Birds,henry mancini,The Thorn Birds Theme,1988,Part 3 (#1.3),1983.0
126904,697536,Tin Men,david steele+fine young cannibals,As Hard As It Is,1988,,1987.0
127132,30124,Beverly Hills  90210,chris isaak,Wicked Game (Remastered Album Version),2006,One Man and a Baby (#1.11),1990.0
129690,197029,Rockopop,henry priestman+the christians,Words,1990,(1990-02-10),1988.0
132951,239835,The Bobby Goldsboro Show,curtis mayfield,Future Shock (ReMastered),2006,(1973-12-15),1973.0
138395,136449,Later... With Jools Holland,the cribs,We Were Aborted,2009,(#35.3),1992.0
48872,135268,Late Show with David Letterman,aimee allen+scott russo+linda perry+unwritten law,Save Me (Rolling Stone Original Version),0,(#12.99),1993.0
140145,135268,Late Show with David Letterman,aimee allen+scott russo+linda perry+unwritten law,Save Me,1999,(#12.99),1993.0
146156,79047,EastEnders,ed cobb+soft cell,Tainted Love (DJ Rad Remix),2010,(2010-05-12),1985.0
146293,10623,American Dad!,skyler gordy+stefan gordy+lil jon+eric delatorre+lmfao,Shots,2008,Can I Be Frank with You? (#8.3),2005.0
151228,93663,Frontline/World,Mandell_ Eleni,Artificial Fire,2009,30 000 Feet: Frequent Flyer,2002.0
153652,263189,The Ren & Stimpy Show,raymond scott,Manhattan Minuet,1992,A Visit to Anthony (#2.11),1991.0
153685,540458,Midnight Serenade,sidney d. mitchell+edna alexander+maceo pinkard+peggy lee,Sugar,1991,,1947.0
156163,220208,Soul Train,kiyamma griffin+vincent herbert+freddie jackson,Can I Touch You,1992,Freddie Jackson/Mikki Howard/Da Youngstas (#22.5),1971.0
169108,302146,Top of the Pops,new order,Round & Round,1989,(1989-03-16),1964.0
169319,210752,Shindig!,titus turner+the righteous brothers,Sticks and Stones,1967,(#1.41),1964.0
170338,420259,Double Trouble,doc pomus+mort shuman+elvis presley,Double Trouble,1987,,1967.0
170858,159942,Mulatschag,billy talent,Saint Veronika,2009,(#1.142),2006.0
171803,373149,Bon Appetit,John Lennon / Paul McCartney,Yesterday,1998,,1967.0
192987,25416,Beavis and Butt-Head,grant lee buffalo,Mockingbirds,1994,U.S. History (#6.3),1993.0
197448,714446,Vision Quest,red rider+tom cochrane,Lunatic Fringe (acoustic version),1997,,1985.0
199010,136410,Later... With Jools Holland,lisa hannigan,Ocean and a Rock,2009,(#34.6),1992.0
200886,447153,Fuiste mÌ_a un verano,leonardo favio+vico berti,Fuiste MÌ_a un Verano,1993,,1969.0
205913,41662,Canadian Idol,bart howard+matt dusk,Fly Me to the Moon,2004,Top 4 Results Show (#2.29),2003.0
209801,538945,Message to Love: The Isle of Wight Festival,joni mitchell,Big Yellow Taxi (Remastered LP Version),2004,,1997.0
211935,426694,El cantante,willie colÌ_n+hector lavoe+marc anthony,El DÌ_a de Mi Suerte,2007,,2006.0
214786,136373,Later... With Jools Holland,doves,Kingdom Of Rust (Acoustic Version),2009,(#34.2),1992.0
214839,302743,Top of the Pops,michael jackson,Earth Song,1995,(1996-01-04),1964.0
218421,124069,Jazz Party,buddy g. desylva+ballard macdonald+george gershwin+henry red allen+dicky wells+buster bailey+coleman hawkins,Somebody Loves Me,1997,(#1.20),1958.0
